CustomerID,TypeOfIncident,SeverityOfIncident,AuthoritiesContacted,IncidentState,IncidentCity,PropertyDamage,BodilyInjuries,Witnesses,PoliceReport,AmountOfTotalClaim,AmountOfInjuryClaim,AmountOfPropertyClaim,AmountOfVehicleDamage,MonthOfIncident
Cust10073,Parked Car,Trivial Damage,Police,State9,City2,,0,1,YES,3197,581,292,2324,2
Cust10076,Multi-vehicle Collision,Major Damage,Police,State9,City5,YES,1,3,NO,72016,7012,11466,53538,2
Cust10078,Single Vehicle Collision,Total Loss,Other,State5,City1,YES,1,0,,59390,9326,9326,40738,2
Cust10079,Single Vehicle Collision,Total Loss,Other,State4,City2,YES,2,1,,59044,9506,9506,40032,2
Cust10080,Single Vehicle Collision,Total Loss,Ambulance,State8,City3,,0,2,,76476,12867,13905,49704,1
Cust10081,Single Vehicle Collision,Total Loss,Ambulance,State4,City3,,0,2,NO,82240,8027,14953,59260,2
Cust10082,Multi-vehicle Collision,Total Loss,Police,State9,City1,,2,3,NO,75142,14119,9333,51690,2
Cust10083,Multi-vehicle Collision,Total Loss,Fire,State9,City1,,2,3,NO,77942,15226,8519,54197,2
Cust10084,Multi-vehicle Collision,Major Damage,Police,State8,City1,,0,3,YES,65046,8094,8094,48858,2
Cust10085,Multi-vehicle Collision,Major Damage,Police,State8,City1,,0,3,YES,68635,7632,7632,53371,2
Cust10086,Multi-vehicle Collision,Total Loss,Police,State9,City3,,1,0,NO,33374,3207,6413,23754,1
Cust10087,Multi-vehicle Collision,Total Loss,Police,State8,City3,,2,1,NO,45221,4507,9013,31701,1
Cust10088,Single Vehicle Collision,Minor Damage,Fire,State7,City6,,1,3,YES,52699,7743,9990,34966,1
Cust10089,Single Vehicle Collision,Minor Damage,Fire,State7,City6,,1,2,YES,71970,7504,14326,50140,1
Cust1009,Single Vehicle Collision,Total Loss,Police,State9,City1,NO,1,1,YES,27700,2770,2770,22160,1
Cust10090,Vehicle Theft,Trivial Damage,None,State4,City7,,2,2,NO,5510,955,661,3894,2
Cust10091,Vehicle Theft,Trivial Damage,None,State4,City7,,2,2,NO,4957,797,642,3518,1
Cust10092,Vehicle Theft,Minor Damage,None,State9,City1,,1,2,NO,6992,1316,658,5018,1
Cust10093,Parked Car,Minor Damage,None,State9,City1,,1,2,,6744,1313,656,4775,1
Cust10094,Parked Car,Trivial Damage,Police,State7,City1,YES,2,0,YES,6820,751,1240,4829,2
Cust10096,Multi-vehicle Collision,Minor Damage,Fire,State5,City6,NO,2,1,YES,75675,9335,9335,57005,2
Cust10097,Multi-vehicle Collision,Minor Damage,Other,State5,City6,,2,1,NO,75235,9495,9495,56245,2
Cust10098,Multi-vehicle Collision,Major Damage,Fire,State4,City4,,2,1,YES,51069,10499,6014,34556,2
Cust10099,Multi-vehicle Collision,Major Damage,Fire,State6,City4,,1,2,,93903,7920,15613,70370,2
Cust1010,Single Vehicle Collision,Total Loss,Other,State4,City3,NO,2,1,,42300,4700,4700,32900,1
Cust10101,Vehicle Theft,Minor Damage,None,State4,City1,YES,1,2,,7347,735,803,5809,1
Cust10104,Multi-vehicle Collision,Total Loss,Police,State5,City4,NO,0,2,NO,64505,9156,7907,47442,2
Cust10105,Single Vehicle Collision,Total Loss,Police,State6,City4,NO,0,2,NO,48856,9668,5598,33590,2
Cust10107,Single Vehicle Collision,Total Loss,Ambulance,State5,City7,YES,2,3,YES,51086,6620,8706,35760,1
Cust10108,Vehicle Theft,Trivial Damage,Police,State9,City4,NO,0,2,NO,7033,717,1221,5095,1
Cust10109,Vehicle Theft,Trivial Damage,Police,State4,City4,NO,0,2,,6778,753,1130,4895,1
Cust1011,Single Vehicle Collision,Total Loss,Police,State5,City4,YES,2,2,,87010,7910,15820,63280,1
Cust10110,Multi-vehicle Collision,Minor Damage,Other,State5,City7,YES,2,0,,93335,11903,14359,67073,2
Cust10111,Single Vehicle Collision,Minor Damage,Other,State5,City7,NO,2,0,,95361,14225,14671,66465,2
Cust10112,Single Vehicle Collision,Major Damage,Police,State7,City5,NO,2,0,,57180,6319,6630,44231,1
Cust10113,Single Vehicle Collision,Major Damage,Police,State7,City4,NO,2,0,,58196,6370,7236,44590,1
Cust10114,Single Vehicle Collision,Total Loss,Ambulance,State5,City1,,1,1,NO,68607,9575,12967,46065,1
Cust10117,Single Vehicle Collision,Total Loss,Other,State9,City3,,1,1,,72285,9362,9362,53561,2
Cust1012,Multi-vehicle Collision,Major Damage,Fire,State7,City7,YES,1,2,YES,114920,17680,17680,79560,2
Cust10120,Single Vehicle Collision,Total Loss,Ambulance,State9,City1,YES,1,1,,47365,6609,6609,34147,2
Cust10121,Single Vehicle Collision,Total Loss,Ambulance,State9,City1,YES,1,1,,46366,6682,6682,33002,2
Cust10123,Single Vehicle Collision,Minor Damage,Police,State4,City3,,1,0,NO,57641,7705,6033,43903,2
Cust10124,Single Vehicle Collision,Total Loss,Fire,State5,City2,YES,2,2,,57210,6943,10395,39872,1
Cust10125,Single Vehicle Collision,Total Loss,Fire,State5,City2,YES,2,2,,57394,7111,10303,39980,1
Cust10126,Multi-vehicle Collision,Total Loss,Ambulance,State3,City1,YES,0,1,YES,47263,8306,4631,34326,1
Cust10127,Multi-vehicle Collision,Total Loss,Ambulance,State9,City1,YES,1,2,YES,55162,6927,5174,43061,2
Cust10128,Multi-vehicle Collision,Total Loss,Other,State8,City2,,0,0,YES,54679,9709,284,44686,2
Cust10129,Single Vehicle Collision,Total Loss,Other,State8,City2,,1,0,YES,61577,6232,6067,49278,2
Cust1013,Single Vehicle Collision,Total Loss,Ambulance,State7,City4,YES,1,0,NO,56520,4710,9420,42390,1
Cust10131,Single Vehicle Collision,Minor Damage,Other,State5,City2,,2,3,YES,54547,8616,7748,38183,2
Cust10133,Single Vehicle Collision,Major Damage,Fire,State4,City3,,2,1,,49678,10132,5520,34026,2
Cust10135,Single Vehicle Collision,Total Loss,Ambulance,State6,City4,NO,1,0,NO,72450,7192,7457,57801,2
Cust10136,Single Vehicle Collision,Major Damage,Fire,State4,City6,,1,2,,48239,5360,5360,37519,2
Cust10137,Single Vehicle Collision,Major Damage,Fire,State6,City6,,1,2,,42281,4698,4698,32885,2
Cust10138,Vehicle Theft,Trivial Damage,Police,State4,City3,NO,1,1,NO,4707,777,606,3324,1
Cust1014,Parked Car,Minor Damage,None,State7,City7,NO,1,1,NO,7280,1120,1120,5040,1
Cust10140,Parked Car,Trivial Damage,None,State8,City3,YES,2,1,YES,5867,810,562,4495,1
Cust10141,Parked Car,Trivial Damage,None,State8,City3,YES,2,1,YES,5847,943,545,4359,2
Cust10142,Single Vehicle Collision,Total Loss,Other,State5,City2,NO,0,2,NO,55734,8414,8414,38906,2
Cust10143,Single Vehicle Collision,Total Loss,Fire,State5,City2,NO,0,2,YES,56208,7808,7808,40592,2
Cust10144,Multi-vehicle Collision,Total Loss,Other,State4,City3,NO,1,3,NO,50642,9916,5489,35237,2
Cust10145,Multi-vehicle Collision,Major Damage,Fire,State4,City3,NO,1,3,NO,62687,11356,8632,42699,2
Cust10146,Parked Car,Minor Damage,None,State9,City2,NO,2,0,,3991,497,714,2780,1
Cust10148,Vehicle Theft,Minor Damage,None,State4,City7,NO,0,0,,7259,738,1449,5072,2
Cust10149,Parked Car,Minor Damage,None,State4,City1,NO,0,0,,6868,731,1364,4773,2
Cust1015,Single Vehicle Collision,Total Loss,Police,State7,City7,NO,0,2,YES,46200,4200,8400,33600,1
Cust10150,Single Vehicle Collision,Total Loss,Ambulance,State5,City7,YES,1,2,YES,52528,8058,7700,36770,1
Cust10152,Single Vehicle Collision,Minor Damage,Fire,State5,City6,,2,2,NO,60990,11089,5545,44356,2
Cust10153,Single Vehicle Collision,Minor Damage,Other,State4,City6,YES,2,2,NO,59443,10808,5404,43231,2
Cust10154,Multi-vehicle Collision,Total Loss,Ambulance,State7,City1,NO,1,0,,57851,11974,5987,39890,2
Cust10155,Single Vehicle Collision,Total Loss,Ambulance,State7,City1,NO,2,0,,56054,11813,5907,38334,1
Cust10156,Multi-vehicle Collision,Major Damage,Ambulance,State9,City4,YES,0,2,NO,56095,5614,9342,41139,1
Cust10157,Multi-vehicle Collision,Minor Damage,Ambulance,State9,City4,,0,2,NO,56627,5649,9461,41517,1
Cust10158,Single Vehicle Collision,Minor Damage,Ambulance,State5,City5,NO,1,2,,56959,10331,7154,39474,1
Cust10159,Multi-vehicle Collision,Minor Damage,Ambulance,State5,City4,NO,1,2,YES,56702,9144,8690,38868,1
Cust10160,Single Vehicle Collision,Total Loss,Police,State7,City5,NO,2,0,YES,56568,6817,5860,43891,1
Cust10162,Parked Car,Minor Damage,None,State5,City3,YES,1,0,NO,3758,683,342,2733,2
Cust10163,Parked Car,Minor Damage,None,State5,City3,YES,1,0,NO,3795,690,345,2760,2
Cust10164,Multi-vehicle Collision,Total Loss,Other,State5,City1,NO,2,2,NO,58854,6797,4477,47580,2
Cust10165,Multi-vehicle Collision,Total Loss,Other,State5,City1,NO,2,3,,56326,6860,1446,48020,2
Cust10166,Single Vehicle Collision,Minor Damage,Fire,State5,City4,,1,3,NO,51660,5062,5062,41536,1
Cust10167,Single Vehicle Collision,Minor Damage,Fire,State5,City4,YES,2,3,YES,49498,4596,4596,40306,1
Cust10169,Multi-vehicle Collision,Minor Damage,Police,State9,City7,YES,2,1,NO,86685,14494,12503,59688,2
Cust1017,Multi-vehicle Collision,Major Damage,Other,State5,City6,,1,2,YES,52110,5790,5790,40530,2
Cust10170,Vehicle Theft,Minor Damage,Police,State5,City2,YES,0,0,,47034,4276,8333,34425,1
Cust10171,Vehicle Theft,Minor Damage,Police,State5,City2,YES,0,1,,32688,2972,5557,24159,1
Cust10172,Single Vehicle Collision,Total Loss,Other,State4,City1,YES,2,1,,68748,9504,11458,47786,2
Cust10173,Single Vehicle Collision,Total Loss,Other,State4,City1,YES,1,2,,84186,9116,14031,61039,1
Cust10177,Single Vehicle Collision,Minor Damage,Ambulance,State9,City4,,0,2,NO,65055,9352,11141,44562,2
Cust10178,Multi-vehicle Collision,Total Loss,Police,State5,City3,NO,2,0,YES,84890,15184,7717,61989,1
Cust10179,Multi-vehicle Collision,Total Loss,Police,State5,City7,YES,2,0,YES,86171,14348,7834,63989,1
Cust1018,Single Vehicle Collision,Total Loss,Police,State9,City4,NO,0,2,YES,77880,14160,7080,56640,1
Cust10180,Multi-vehicle Collision,Total Loss,Other,State7,City2,NO,2,2,,58960,7284,6342,45334,2
Cust10181,Multi-vehicle Collision,Total Loss,Other,State7,City2,NO,2,2,,60394,7053,6613,46728,2
Cust10183,Single Vehicle Collision,Major Damage,Ambulance,State8,City7,,2,0,,63046,5762,5762,51522,1
Cust10185,Multi-vehicle Collision,Total Loss,Fire,State7,City3,YES,0,1,YES,61006,11092,5546,44368,2
Cust10187,Multi-vehicle Collision,Major Damage,Ambulance,State8,City7,,0,0,,43853,6694,6694,30465,1
Cust10188,Single Vehicle Collision,Minor Damage,Fire,State9,City2,NO,2,2,NO,57062,8174,8174,40714,2
Cust10189,Multi-vehicle Collision,Minor Damage,Fire,State9,City2,NO,2,2,NO,57550,9466,9466,38618,2
Cust10190,Multi-vehicle Collision,Major Damage,Fire,State4,City3,NO,2,0,NO,56056,9875,5685,40496,2
Cust10191,Multi-vehicle Collision,Major Damage,Fire,State8,City3,NO,2,0,NO,55927,9697,5960,40270,2
Cust10192,Multi-vehicle Collision,Minor Damage,Police,State9,City7,YES,1,1,NO,73074,9982,4791,58301,2
Cust10193,Multi-vehicle Collision,Minor Damage,Police,State9,City7,YES,2,0,NO,89705,15495,14215,59995,2
Cust10194,Multi-vehicle Collision,Total Loss,Ambulance,State9,City4,,2,0,YES,78139,13787,11496,52856,2
Cust10195,Single Vehicle Collision,Total Loss,Ambulance,State9,City6,,2,0,YES,76647,13630,11063,51954,2
Cust10196,Vehicle Theft,Trivial Damage,None,State7,City6,NO,1,0,NO,6970,1116,1184,4670,1
Cust10197,Vehicle Theft,Trivial Damage,None,State9,City6,NO,0,1,NO,6299,726,1212,4361,2
Cust10199,Multi-vehicle Collision,Total Loss,Police,State6,City2,NO,1,1,,55869,5616,5323,44930,2
Cust10200,Multi-vehicle Collision,Major Damage,Fire,State7,City7,YES,0,2,NO,68353,11189,6568,50596,2
Cust10201,Multi-vehicle Collision,Major Damage,Fire,State7,City6,YES,0,3,NO,66447,9266,6845,50336,2
Cust10202,Single Vehicle Collision,Minor Damage,Fire,State7,City5,YES,0,1,,62600,11418,11220,39962,1
Cust10203,Single Vehicle Collision,Minor Damage,Fire,State6,City2,YES,0,1,,62599,11418,11217,39964,1
Cust10205,Multi-vehicle Collision,Minor Damage,Other,State5,City7,YES,1,1,,62881,12576,10472,39833,2
Cust10207,Single Vehicle Collision,Total Loss,Ambulance,State7,City7,,2,0,,49036,13994,6030,29012,1
Cust10208,Single Vehicle Collision,Total Loss,Other,State5,City7,,1,3,,59661,7117,7117,45427,2
Cust10209,Single Vehicle Collision,Total Loss,Fire,State5,City5,,1,2,,56302,7609,7609,41084,2
Cust1021,Multi-vehicle Collision,Minor Damage,Police,State5,City2,NO,1,0,,47160,0,5240,41920,1
Cust10210,Single Vehicle Collision,Total Loss,Fire,State8,City6,NO,0,1,NO,55214,5377,5377,44460,1
Cust10211,Single Vehicle Collision,Minor Damage,Fire,State8,City6,NO,0,2,NO,54217,5379,5379,43459,1
Cust10214,Single Vehicle Collision,Total Loss,Other,State7,City4,NO,1,3,YES,76183,7760,12914,55509,1
Cust10215,Single Vehicle Collision,Total Loss,Other,State8,City6,NO,0,3,YES,67284,11352,12098,43834,2
Cust10216,Vehicle Theft,Minor Damage,None,State9,City1,YES,1,1,,4767,490,490,3787,2
Cust10217,Vehicle Theft,Minor Damage,None,State4,City6,YES,1,1,,3403,360,360,2683,2
Cust10219,Multi-vehicle Collision,Minor Damage,Ambulance,State5,City4,YES,0,3,,47405,4291,8581,34533,1
Cust1022,Multi-vehicle Collision,Total Loss,Police,State7,City1,,1,2,,37840,0,4730,33110,2
Cust10220,Multi-vehicle Collision,Major Damage,Other,State5,City5,NO,0,3,NO,57554,5384,10434,41736,2
Cust10221,Multi-vehicle Collision,Major Damage,Other,State5,City5,NO,0,3,NO,57921,5575,10469,41877,2
Cust10222,Single Vehicle Collision,Total Loss,Police,State5,City5,,0,1,NO,77409,13247,13247,50915,2
Cust10223,Single Vehicle Collision,Minor Damage,Police,State5,City4,,1,2,NO,71628,11618,11618,48392,2
Cust10224,Single Vehicle Collision,Minor Damage,Other,State7,City7,,0,2,,65540,12084,12084,41372,2
Cust10225,Single Vehicle Collision,Minor Damage,Other,State7,City7,,0,2,,63184,11877,11877,39430,2
Cust10226,Vehicle Theft,Trivial Damage,Police,State5,City4,,1,3,NO,5010,913,400,3697,2
Cust10229,Multi-vehicle Collision,Minor Damage,Ambulance,State5,City7,,1,0,NO,,9574,9574,31666,1
Cust1023,Multi-vehicle Collision,Major Damage,Ambulance,State7,City3,NO,0,0,YES,71520,17880,5960,47680,1
Cust10231,Single Vehicle Collision,Minor Damage,Other,State4,City4,YES,1,1,YES,63728,11818,7178,44732,1
Cust10232,Single Vehicle Collision,Minor Damage,Police,State7,City5,,2,3,YES,71357,11133,10169,50055,1
Cust10233,Single Vehicle Collision,Minor Damage,Police,State9,City4,,2,3,YES,75720,10216,13986,51518,1
Cust10234,Single Vehicle Collision,Major Damage,Police,State9,City2,NO,0,1,,63976,15575,5471,42930,2
Cust10235,Single Vehicle Collision,Major Damage,Ambulance,State9,City5,NO,0,1,,64785,15896,5499,43390,2
Cust10236,Single Vehicle Collision,Major Damage,Other,State9,City3,YES,1,0,NO,54909,10259,6033,38617,2
Cust10237,Single Vehicle Collision,Major Damage,Police,State9,City4,YES,1,0,NO,56647,10010,6654,39983,2
Cust10239,Single Vehicle Collision,Total Loss,Other,State7,City5,,0,1,,70114,12753,6349,51012,2
Cust1024,Single Vehicle Collision,Total Loss,Ambulance,State9,City4,,2,2,,98160,8180,16360,73620,1
Cust10240,Single Vehicle Collision,Minor Damage,Police,State9,City3,NO,2,1,NO,58979,12907,6902,39170,1
Cust10241,Single Vehicle Collision,Minor Damage,Police,State9,City3,NO,2,1,NO,69119,13935,10173,45011,1
Cust10242,Multi-vehicle Collision,Major Damage,Police,State5,City6,NO,2,2,,52275,5407,9017,37851,1
Cust10243,Multi-vehicle Collision,Major Damage,Police,State5,City6,NO,2,1,YES,52896,5703,7269,39924,2
Cust10244,Single Vehicle Collision,Minor Damage,Police,State5,City5,NO,2,2,YES,43985,4912,5647,33426,1
Cust10246,Multi-vehicle Collision,Major Damage,Ambulance,State7,City6,,0,1,NO,47988,5035,7711,35242,1
Cust10247,Multi-vehicle Collision,Total Loss,Fire,State5,City6,,0,1,NO,46393,4903,7171,34319,1
Cust10248,Multi-vehicle Collision,Total Loss,Fire,State5,City4,YES,0,0,NO,59092,10734,5380,42978,2
Cust10249,Multi-vehicle Collision,Minor Damage,Fire,State5,City4,YES,1,0,NO,69400,7618,10155,51627,1
Cust1025,Single Vehicle Collision,Minor Damage,Other,State8,City6,NO,1,3,NO,77880,7080,14160,56640,2
Cust10250,Single Vehicle Collision,Total Loss,Police,State9,City1,NO,2,0,YES,75229,8217,8855,58157,1
Cust10254,Single Vehicle Collision,Total Loss,Ambulance,State5,City4,,2,1,YES,59035,11709,6343,40983,1
Cust10256,Single Vehicle Collision,Total Loss,Other,State5,City1,NO,0,0,NO,61111,5862,8647,46602,1
Cust10257,Single Vehicle Collision,Minor Damage,Ambulance,State5,City1,NO,0,0,NO,60819,5397,9479,45943,1
Cust10259,Single Vehicle Collision,Total Loss,Other,State5,City5,,2,3,YES,42217,8416,4208,29593,2
Cust1026,Multi-vehicle Collision,Major Damage,Other,State3,City1,NO,1,3,YES,71500,16500,11000,44000,1
Cust10260,Single Vehicle Collision,Total Loss,Ambulance,State5,City1,,1,2,,44164,3801,7119,33244,1
Cust10262,Parked Car,Minor Damage,None,State7,City3,NO,2,1,NO,16041,1604,2330,12107,2
Cust10264,Vehicle Theft,Trivial Damage,None,State5,City5,NO,0,1,,3746,678,678,2390,1
Cust10266,Single Vehicle Collision,Total Loss,Fire,State5,City6,YES,1,1,,57627,8907,5688,43032,1
Cust10268,Single Vehicle Collision,Total Loss,Ambulance,State9,City4,YES,1,3,YES,84272,15462,14692,54118,1
Cust10269,Single Vehicle Collision,Total Loss,Ambulance,State9,City4,,2,1,YES,64426,12578,7826,44022,1
Cust1027,Parked Car,Minor Damage,Police,State6,City1,YES,1,3,YES,9020,1640,820,6560,1
Cust10270,Multi-vehicle Collision,Minor Damage,Fire,State7,City4,NO,1,0,NO,58669,8659,8659,41351,1
Cust10272,Multi-vehicle Collision,Total Loss,Fire,State7,City1,YES,2,1,YES,58611,5426,9780,43405,2
Cust10273,Multi-vehicle Collision,Total Loss,Fire,State7,City4,YES,2,1,YES,57833,5572,7684,44577,2
Cust10274,Vehicle Theft,Minor Damage,Police,State4,City3,NO,1,1,,3379,646,480,2253,1
Cust10275,Parked Car,Minor Damage,Police,State4,City3,NO,2,0,NO,5382,919,875,3588,2
Cust10276,Vehicle Theft,Trivial Damage,None,State7,City6,YES,1,2,,7182,1153,745,5284,1
Cust10277,Vehicle Theft,Trivial Damage,None,State5,City6,YES,1,2,,7218,1231,705,5282,1
Cust10278,Multi-vehicle Collision,Major Damage,Ambulance,State8,City7,NO,2,0,YES,68779,8544,10214,50021,2
Cust10279,Multi-vehicle Collision,Major Damage,Ambulance,State8,City7,NO,2,0,NO,57873,10029,5755,42089,2
Cust1028,Vehicle Theft,Minor Damage,None,State8,City5,YES,2,1,,5720,1040,520,4160,1
Cust10281,Vehicle Theft,Trivial Damage,None,State7,City2,NO,1,0,NO,5910,945,945,4020,1
Cust10283,Single Vehicle Collision,Total Loss,Ambulance,State9,City7,,0,1,NO,77526,8958,6653,61915,2
Cust10285,Single Vehicle Collision,Minor Damage,Police,State7,City2,NO,2,3,NO,90759,14694,14694,61371,1
Cust10286,Single Vehicle Collision,Total Loss,Ambulance,State9,City7,,0,0,NO,79678,12569,7096,60013,1
Cust10288,Single Vehicle Collision,Total Loss,Other,State7,City6,NO,0,3,YES,67973,11074,12161,44738,2
Cust10289,Single Vehicle Collision,Total Loss,Other,State7,City6,NO,0,3,YES,70836,9919,12424,48493,2
Cust10290,Vehicle Theft,Minor Damage,None,State4,City2,NO,0,2,NO,8003,1056,1260,5687,2
Cust10291,Vehicle Theft,Minor Damage,None,State7,City2,,0,2,,8567,967,1566,6034,2
Cust10292,Multi-vehicle Collision,Total Loss,Police,State9,City1,,2,3,YES,67741,10933,11362,45446,2
Cust10293,Multi-vehicle Collision,Total Loss,Police,State9,City1,NO,2,3,YES,66294,9460,11367,45467,2
Cust10294,Multi-vehicle Collision,Total Loss,Other,State9,City1,,1,2,,64835,9107,7611,48117,1
Cust10295,Multi-vehicle Collision,Total Loss,Other,State9,City1,,1,3,,64193,7404,9633,47156,1
