CustomerLoyaltyPeriod,Policy_CombinedSingleLimit,Policy_Deductible,PolicyAnnualPremium,UmbrellaLimit,InsuredRelationship,CustomerID,PolicyMonth,PolicyYear
355,500/1000,2000,1273.7,4000000,husband,Cust1048,3,1990
175,500/1000,1000,1123.87,8000000,other-relative,Cust1049,1,2008
192,100/300,1000,1245.89,0,wife,Cust1050,3,1997
430,250/500,2000,1326.62,7000000,own-child,Cust1051,1,2004
217,100/300,1000,1530.52,0,not-in-family,Cust1053,6,2002
223,100/300,500,1201.41,0,husband,Cust1054,4,1994
195,250/500,1000,1393.57,0,not-in-family,Cust1055,8,2014
439,250/500,500,1082.49,0,unmarried,Cust1057,11,2008
94,500/1000,1000,1414.74,0,own-child,Cust1058,10,1995
11,250/500,2000,1470.06,0,husband,Cust1059,5,1993
151,250/500,2000,870.63,0,own-child,Cust1060,2,2005
154,100/300,500,795.23,0,other-relative,Cust1061,2,1990
245,500/1000,1000,1168.2,0,husband,Cust1062,9,1993
215,500/1000,500,1848.81,0,own-child,Cust1064,10,2008
295,250/500,2000,1641.73,5000000,not-in-family,Cust1065,4,2007
254,100/300,500,1362.87,0,other-relative,Cust1066,12,1993
107,250/500,500,1239.22,7000000,not-in-family,Cust1067,8,2011
478,250/500,500,835.02,0,unmarried,Cust1068,8,1990
128,100/300,1000,1061.33,0,own-child,Cust1069,2,1994
338,500/1000,1000,1279.08,0,own-child,Cust1070,2,1994
271,100/300,500,1105.49,0,own-child,Cust1071,8,2011
222,100/300,2000,1055.53,0,not-in-family,Cust1072,11,1998
192,100/300,1000,1405.99,0,wife,Cust1075,4,2004
120,100/300,1000,1425.54,0,other-relative,Cust1076,2,2001
319,250/500,500,1307.11,0,not-in-family,Cust1078,4,1992
194,500/1000,1000,1489.24,6000000,wife,Cust1079,5,2010
227,500/1000,500,976.67,0,unmarried,Cust1080,10,2013
137,250/500,2000,1340.43,0,husband,Cust1081,10,1994
78,250/500,1000,1234.2,6000000,other-relative,Cust1083,2,2011
284,500/1000,2000,769.95,0,not-in-family,Cust1085,5,1997
275,100/300,2000,1514.72,0,own-child,Cust1086,10,1996
134,500/1000,500,1612.43,0,own-child,Cust1088,1,1991
31,500/1000,2000,1318.24,9000000,not-in-family,Cust1089,8,1999
41,100/300,1000,1226.83,0,not-in-family,Cust1090,1,1992
127,250/500,2000,1326.44,5000000,own-child,Cust1091,12,1999
61,250/500,2000,1136.83,4000000,own-child,Cust1092,6,1993
207,250/500,2000,1322.78,0,own-child,Cust1093,10,2000
219,100/300,1000,1483.25,0,not-in-family,Cust1094,12,2010
271,100/300,500,1515.3,0,not-in-family,Cust1095,3,1990
80,100/300,2000,1075.18,5000000,husband,Cust1096,3,2012
29,250/500,2000,1352.83,0,own-child,Cust1098,11,2014
295,250/500,1000,1148.73,0,wife,Cust1099,6,2009
239,100/300,1000,969.5,0,not-in-family,Cust1100,9,1999
269,100/300,500,1463.82,0,not-in-family,Cust1101,10,1990
80,100/300,1000,1474.17,0,unmarried,Cust1102,8,1996
165,100/300,1000,1427.14,0,other-relative,Cust1104,3,2007
464,500/1000,1000,1125.37,0,husband,Cust1107,10,1990
118,500/1000,2000,1207.36,0,own-child,Cust1108,12,1991
298,500/1000,2000,1338.5,0,other-relative,Cust1109,11,1998
87,500/1000,1000,1074.07,0,husband,Cust1110,6,2009
261,250/500,500,1337.56,0,unmarried,Cust1111,1,2009
210,500/1000,500,1222.75,0,other-relative,Cust1113,11,2012
168,100/300,1000,1059.52,0,own-child,Cust1114,5,2000
107,500/1000,2000,1374.22,0,other-relative,Cust1117,2,1991
225,500/1000,2000,1103.58,0,unmarried,Cust1118,8,1993
164,250/500,2000,1269.76,0,not-in-family,Cust1119,10,1997
245,250/500,500,964.79,8000000,husband,Cust1120,4,2001
255,500/1000,2000,1167.3,4000000,other-relative,Cust1121,1,2013
206,500/1000,500,1625.45,4000000,other-relative,Cust1122,7,2009
203,250/500,500,1394.43,0,not-in-family,Cust1123,2,1998
206,250/500,1000,1302.4,6000000,unmarried,Cust1126,7,2014
166,100/300,2000,1588.55,0,unmarried,Cust1127,11,1992
165,500/1000,500,1399.26,0,own-child,Cust1128,6,2012
274,100/300,2000,1352.31,0,wife,Cust1129,5,2001
280,250/500,1000,1397.67,0,wife,Cust1131,7,2011
194,250/500,500,823.17,0,own-child,Cust1132,7,2005
112,100/300,500,965.13,0,unmarried,Cust1133,10,2005
24,500/1000,1000,1922.84,0,wife,Cust1134,1,1996
171,250/500,2000,1277.25,0,other-relative,Cust1136,2,1997
200,100/300,1000,1439.34,0,other-relative,Cust1137,5,2010
120,250/500,1000,1281.27,0,not-in-family,Cust1138,2,2009
124,250/500,1000,1198.15,0,not-in-family,Cust1140,6,1992
287,500/1000,2000,968.74,0,wife,Cust1142,3,2004
122,250/500,1000,1220.71,0,own-child,Cust1143,6,2006
22,250/500,2000,1238.62,6000000,other-relative,Cust1144,6,1994
106,500/1000,2000,1320.75,0,wife,Cust1145,2,1998
398,100/300,500,990.98,0,wife,Cust1146,11,2000
214,500/1000,500,1398.51,4000000,not-in-family,Cust1147,10,2004
209,100/300,500,1355.08,0,other-relative,Cust1148,11,2009
82,100/300,1000,1384.51,0,not-in-family,Cust1149,9,1996
134,100/300,1000,1000.06,0,wife,Cust1151,6,2001
288,100/300,1000,1046.71,0,husband,Cust1152,10,2002
101,100/300,1000,1053.04,7000000,own-child,Cust1155,6,2012
375,100/300,1000,1275.39,0,other-relative,Cust1156,2,2007
428,250/500,500,1344.36,7000000,other-relative,Cust1158,9,1999
45,100/300,1000,1197.71,0,not-in-family,Cust1159,5,2006
136,100/300,500,1203.24,0,other-relative,Cust1160,4,2010
278,500/1000,2000,1142.62,7000000,not-in-family,Cust1162,7,1999
295,500/1000,1000,1332.07,0,unmarried,Cust1163,2,1992
112,500/1000,1000,1166.54,0,not-in-family,Cust1164,9,2002
122,250/500,500,1495.06,0,unmarried,Cust1165,8,2003
108,500/1000,1000,1337.92,0,not-in-family,Cust1166,12,2007
14,250/500,2000,1587.96,0,unmarried,Cust1167,7,2002
298,500/1000,1000,1362.29,0,unmarried,Cust1168,7,1992
276,250/500,500,1448.84,0,husband,Cust1169,3,2005
8,250/500,500,1229.16,4000000,wife,Cust1174,2,2003
294,100/300,1000,1226.49,0,unmarried,Cust1175,8,1990
324,100/300,2000,897.89,6000000,wife,Cust1176,3,2010
261,250/500,1000,1254.18,0,other-relative,Cust1178,6,2005
235,100/300,500,1046.58,4000000,wife,Cust1180,1,2011
53,500/1000,2000,1712.68,0,not-in-family,Cust1181,9,2003
426,500/1000,2000,1097.71,0,not-in-family,Cust1182,10,1997
111,250/500,500,1363.77,4000000,husband,Cust1183,1,2009
86,100/300,500,1382.88,7000000,other-relative,Cust1184,10,1998
296,100/300,1000,1141.35,7000000,not-in-family,Cust1185,2,1993
125,500/1000,500,1054.83,7000000,husband,Cust1186,7,1996
177,100/300,2000,1057.77,0,unmarried,Cust1187,1,2013
238,250/500,2000,1488.02,0,other-relative,Cust1188,12,2006
81,100/300,500,920.3,5000000,own-child,Cust1189,2,2014
128,500/1000,1000,986.53,0,other-relative,Cust1190,11,2007
449,250/500,2000,1440.68,0,own-child,Cust1191,4,1999
252,250/500,1000,1086.21,0,unmarried,Cust1192,2,2006
19,500/1000,1000,1215.85,0,husband,Cust1194,1,2006
196,250/500,2000,1463.07,0,own-child,Cust1197,1,1996
223,250/500,500,1734.09,0,not-in-family,Cust1198,4,2002
285,100/300,2000,1512.58,0,other-relative,Cust1200,11,1994
30,250/500,2000,1153.35,0,not-in-family,Cust1201,6,2012
342,250/500,500,1722.95,0,not-in-family,Cust1202,4,1998
219,250/500,2000,1281.07,7000000,unmarried,Cust1203,4,2007
468,100/300,500,1011.92,0,wife,Cust1204,6,2000
241,250/500,2000,1042.26,0,husband,Cust1205,6,1996
223,500/1000,500,1235.1,0,not-in-family,Cust1206,5,2009
124,500/1000,500,1301.72,0,husband,Cust1208,9,1993
343,250/500,500,1451.54,3000000,husband,Cust1209,11,2009
63,250/500,2000,1620.89,0,other-relative,Cust1211,1,1994
335,100/300,1000,1538.26,6000000,other-relative,Cust1213,2,2007
11,500/1000,2000,1217.69,0,wife,Cust1214,4,2001
142,100/300,2000,1362.64,5000000,wife,Cust1215,2,1995
272,100/300,1000,1279.13,0,other-relative,Cust1216,7,1995
69,100/300,2000,924.72,0,unmarried,Cust1217,3,2006
38,250/500,1000,1019.44,0,not-in-family,Cust1218,3,1995
328,500/1000,500,1314.6,0,not-in-family,Cust1219,6,1996
281,100/300,1000,1515.18,6000000,other-relative,Cust1220,6,1993
246,250/500,2000,1649.18,0,other-relative,Cust1221,7,2001
298,250/500,500,1451.01,0,own-child,Cust1222,11,2008
330,500/1000,1000,978.46,0,husband,Cust1223,12,2002
362,250/500,500,1198.34,4000000,wife,Cust1224,1,2006
241,100/300,2000,1003.23,0,not-in-family,Cust1225,5,1990
245,500/1000,2000,1212.0,0,unmarried,Cust1226,8,2013
371,250/500,1000,1242.96,7000000,own-child,Cust1227,10,1997
343,500/1000,1000,1053.02,0,not-in-family,Cust1228,1,2002
154,250/500,1000,2047.59,0,other-relative,Cust1230,1,2010
166,100/300,1000,1083.72,0,wife,Cust1231,10,2014
298,500/1000,1000,1138.42,6000000,own-child,Cust1232,5,2007
172,100/300,2000,1219.04,0,own-child,Cust1234,9,2004
428,100/300,2000,1506.21,0,unmarried,Cust1236,2,2004
107,500/1000,2000,932.14,0,own-child,Cust1238,3,1997
151,500/1000,1000,1728.56,0,own-child,Cust1240,8,1992
249,250/500,1000,1518.46,0,own-child,Cust1241,9,2013
177,100/300,2000,1540.19,0,other-relative,Cust1242,1,2012
190,500/1000,2000,965.21,0,other-relative,Cust1243,1,2007
174,100/300,2000,1278.75,0,own-child,Cust1244,10,2005
95,250/500,1000,773.99,0,other-relative,Cust1245,11,1990
2,250/500,1000,1340.56,0,not-in-family,Cust1247,5,1999
269,100/300,500,1297.75,4000000,own-child,Cust1248,12,2002
94,250/500,2000,1025.54,0,other-relative,Cust1250,3,2002
117,250/500,500,1264.77,0,unmarried,Cust1251,4,2003
111,250/500,500,1459.97,5000000,other-relative,Cust1252,9,2002
242,100/300,500,1238.65,0,husband,Cust1253,2,1998
440,250/500,500,1050.76,0,wife,Cust1254,9,1992
208,250/500,500,1153.49,0,other-relative,Cust1257,6,2000
279,500/1000,2000,1281.25,0,other-relative,Cust1258,4,1995
244,100/300,500,1342.8,0,husband,Cust1259,6,2006
134,250/500,2000,1443.32,0,unmarried,Cust1260,9,2007
122,250/500,1000,1629.94,0,other-relative,Cust1261,11,1991
156,100/300,2000,1134.08,0,husband,Cust1262,9,1996
232,250/500,500,1483.91,8000000,husband,Cust1263,5,2001
244,500/1000,2000,1304.67,7000000,other-relative,Cust1264,8,1999
84,500/1000,2000,1035.79,0,wife,Cust1265,6,2003
394,250/500,500,1401.2,0,own-child,Cust1266,3,1999
246,250/500,1000,1665.45,0,wife,Cust1267,2,1999
156,100/300,500,1080.13,0,other-relative,Cust1269,6,2010
369,250/500,2000,1589.54,0,husband,Cust1271,4,2013
271,100/300,1000,1251.65,0,wife,Cust1272,12,1995
332,100/300,2000,1083.01,0,other-relative,Cust1273,11,1991
107,100/300,500,974.59,0,wife,Cust1274,5,2014
243,500/1000,500,1307.74,0,own-child,Cust1276,2,2006
264,100/300,500,1411.3,0,unmarried,Cust1278,10,2002
108,100/300,2000,694.45,0,not-in-family,Cust1279,1,1990
32,100/300,500,1006.77,6000000,own-child,Cust1280,3,2010
259,250/500,1000,1422.36,0,unmarried,Cust1281,9,1995
186,100/300,1000,1348.32,0,wife,Cust1282,2,2010
201,250/500,2000,1315.56,0,not-in-family,Cust1283,12,1991
189,250/500,2000,1388.58,0,own-child,Cust1285,4,2007
105,500/1000,500,1310.76,0,not-in-family,Cust1286,7,1996
163,100/300,1000,1004.63,6000000,not-in-family,Cust1287,4,2002
219,100/300,500,1134.91,0,not-in-family,Cust1288,10,2006
284,100/300,500,1338.54,-1000000,wife,Cust1291,5,1995
59,250/500,2000,782.23,0,other-relative,Cust1292,9,2011
39,250/500,2000,1366.9,0,husband,Cust1293,1,2003
194,500/1000,500,1416.24,0,not-in-family,Cust1299,3,2012
259,100/300,500,947.75,0,not-in-family,Cust1301,7,2009
48,100/300,2000,1400.74,0,other-relative,Cust1303,2,1997
267,250/500,500,1155.53,5000000,wife,Cust1304,10,2009
286,250/500,500,1386.93,0,husband,Cust1305,11,2002
111,250/500,500,1239.55,2000000,own-child,Cust1307,1,2011
151,250/500,500,1366.42,0,unmarried,Cust1308,10,2012
156,500/1000,1000,1086.48,6000000,unmarried,Cust1309,10,1991
165,250/500,2000,1247.87,0,husband,Cust1310,10,2010
253,100/300,2000,1312.75,0,other-relative,Cust1311,4,2013
10,100/300,2000,765.64,0,not-in-family,Cust1312,6,2008
158,100/300,2000,1327.41,0,other-relative,Cust1313,12,2013
436,500/1000,1000,1338.55,0,own-child,Cust1314,8,2010
91,250/500,2000,1316.63,8000000,unmarried,Cust1315,6,2010
256,500/1000,1000,1286.44,0,wife,Cust1316,4,1992
274,500/1000,1000,1372.18,0,not-in-family,Cust1317,2,1997
275,500/1000,2000,1447.77,0,wife,Cust1318,12,1991
1,250/500,500,903.32,0,not-in-family,Cust1319,9,1995
85,500/1000,1000,1454.42,0,other-relative,Cust1320,10,1993
233,100/300,2000,1603.42,0,wife,Cust1321,11,1991
142,250/500,2000,1616.58,0,husband,Cust1322,7,2002
266,250/500,500,1611.83,0,husband,Cust1323,12,1999
350,500/1000,500,889.13,0,other-relative,Cust1324,7,2005
97,250/500,1000,1252.08,0,not-in-family,Cust1325,11,1991
399,500/1000,2000,995.56,0,not-in-family,Cust1326,4,1993
305,100/300,2000,1347.92,0,own-child,Cust1327,8,2009
276,100/300,1000,1724.09,0,own-child,Cust1328,6,1993
257,250/500,500,1379.93,0,husband,Cust1329,7,2012
78,250/500,1000,1554.64,4000000,own-child,Cust1330,1,1999
129,500/1000,1000,1377.94,0,not-in-family,Cust1331,2,1990
85,250/500,500,1259.02,0,unmarried,Cust1333,9,2008
101,500/1000,1000,1371.88,0,husband,Cust1334,8,1991
176,250/500,500,1365.46,4000000,unmarried,Cust1337,11,2010
159,500/1000,1000,894.4,0,wife,Cust1338,8,1998
120,250/500,500,956.69,0,husband,Cust1339,7,2002
212,500/1000,2000,1123.89,0,unmarried,Cust1340,4,1990
290,100/300,500,1085.03,0,wife,Cust1341,2,1998
299,100/300,2000,1437.33,0,wife,Cust1342,7,2008
66,250/500,1000,988.29,0,own-child,Cust1343,11,1998
334,500/1000,500,1238.89,0,other-relative,Cust1344,5,2001
216,100/300,1000,1384.64,5000000,unmarried,Cust1345,6,2014
86,100/300,2000,1595.07,0,unmarried,Cust1346,8,1991
429,250/500,1000,1127.89,6000000,own-child,Cust1347,12,1998
257,500/1000,2000,929.7,6000000,husband,Cust1348,2,1999
15,100/300,1000,1829.63,0,not-in-family,Cust1349,10,1997
250,500/1000,1000,1243.84,0,own-child,Cust1351,7,2013
270,500/1000,2000,1030.95,0,other-relative,Cust1352,7,2003
65,100/300,500,1285.03,3000000,unmarried,Cust1353,9,2005
475,100/300,500,1216.56,0,own-child,Cust1354,2,1995
77,500/1000,2000,966.26,0,own-child,Cust1355,4,1999
229,250/500,2000,1212.12,0,not-in-family,Cust1357,6,1997
177,100/300,1000,1609.67,0,wife,Cust1359,12,2002
451,250/500,2000,1618.65,2000000,unmarried,Cust1361,6,1998
61,100/300,500,922.67,0,other-relative,Cust1362,2,1996
150,100/300,1000,1342.02,0,own-child,Cust1363,11,2004
283,100/300,500,1195.01,0,own-child,Cust1364,10,2012
291,500/1000,1000,994.74,0,own-child,Cust1365,4,2006
162,100/300,1000,1050.24,0,wife,Cust1366,2,2006
154,250/500,2000,1313.51,7000000,own-child,Cust1367,12,2003
10,250/500,1000,1185.78,0,wife,Cust1369,8,2014
309,500/1000,500,1527.95,0,other-relative,Cust1370,6,2011
396,100/300,1000,1366.39,0,other-relative,Cust1371,10,1992
129,500/1000,2000,927.23,0,husband,Cust1373,5,2007
140,250/500,2000,1554.86,6000000,wife,Cust1374,5,1997
419,500/1000,2000,736.07,6000000,unmarried,Cust1375,1,1998
32,100/300,2000,1260.32,6000000,not-in-family,Cust1378,11,2014
230,100/300,1000,1464.03,0,own-child,Cust1379,12,1991
157,100/300,2000,617.11,0,other-relative,Cust1380,10,2009
47,500/1000,500,1161.31,0,other-relative,Cust1382,12,2003
113,250/500,2000,1091.73,0,not-in-family,Cust1383,1,2008
254,250/500,2000,1241.04,0,own-child,Cust1385,12,2013
115,500/1000,500,1757.21,0,wife,Cust1386,8,2000
236,250/500,1000,802.24,0,not-in-family,Cust1387,10,1992
7,500/1000,1000,1342.72,0,wife,Cust1388,11,1991
208,100/300,2000,1209.41,5000000,wife,Cust1389,10,1995
126,500/1000,1000,1141.71,2000000,own-child,Cust1390,10,2007
160,100/300,1000,1118.58,0,husband,Cust1393,5,2012
157,500/1000,500,1257.83,7000000,own-child,Cust1395,8,1990
6,250/500,500,1075.71,0,unmarried,Cust1399,8,1992
103,100/300,1000,969.88,6000000,own-child,Cust1400,1,1993
369,250/500,2000,1459.93,0,not-in-family,Cust1401,5,1995
261,500/1000,1000,1245.61,0,own-child,Cust1402,9,1992
159,100/300,2000,1462.76,0,husband,Cust1403,7,2007
344,100/300,2000,1398.46,0,other-relative,Cust1404,4,1992
437,500/1000,1000,1269.64,0,unmarried,Cust1405,1,1998
280,500/1000,2000,1140.31,0,husband,Cust1407,12,1994
275,250/500,2000,1190.6,0,unmarried,Cust1409,11,1991
265,250/500,500,972.5,0,unmarried,Cust1410,10,1998
84,250/500,1000,1117.17,0,not-in-family,Cust1412,4,2003
247,250/500,2000,1101.51,0,not-in-family,Cust1413,2,1992
210,500/1000,1000,984.45,0,unmarried,Cust1415,6,1997
108,500/1000,2000,1257.0,4000000,unmarried,Cust1416,9,2006
328,500/1000,500,1434.51,0,wife,Cust1417,10,2001
208,100/300,1000,1134.68,0,husband,Cust1421,6,2014
147,250/500,1000,1306.78,0,other-relative,Cust1422,10,1992
8,500/1000,500,1021.9,0,husband,Cust1423,10,2012
297,100/300,1000,1538.6,0,wife,Cust1424,2,1993
150,500/1000,1000,1354.5,0,husband,Cust1425,9,1994
210,500/1000,1000,1346.27,0,not-in-family,Cust1427,12,1991
91,100/300,1000,1338.4,4000000,own-child,Cust1428,9,1999
167,100/300,1000,949.44,0,other-relative,Cust1429,2,1994
467,500/1000,2000,977.4,0,own-child,Cust1430,1,2003
264,250/500,2000,1181.46,10000000,other-relative,Cust1431,3,2005
270,500/1000,500,1187.53,0,not-in-family,Cust1432,8,2003
143,100/300,500,1442.27,0,wife,Cust1434,3,2014
61,100/300,500,1111.72,0,other-relative,Cust1437,3,2007
255,500/1000,2000,814.96,6000000,not-in-family,Cust1438,1,2004
211,500/1000,1000,1575.86,0,own-child,Cust1439,4,1991
61,250/500,1000,1115.27,0,unmarried,Cust1440,3,1995
108,500/1000,2000,1175.7,0,not-in-family,Cust1441,12,2005
120,500/1000,1000,1056.71,0,not-in-family,Cust1444,10,2001
144,500/1000,2000,1255.68,6000000,other-relative,Cust1445,10,1993
414,500/1000,500,1335.13,0,unmarried,Cust1446,2,2003
163,250/500,500,1178.95,6000000,own-child,Cust1447,3,2004
352,250/500,500,1793.16,0,wife,Cust1448,7,2013
27,100/300,500,1008.38,0,other-relative,Cust1449,8,2014
239,100/300,500,1396.83,0,husband,Cust1450,6,1990
33,100/300,500,1402.78,5000000,husband,Cust1451,3,2008
101,500/1000,1000,1313.64,0,unmarried,Cust1453,9,1991
126,250/500,2000,1171.75,0,not-in-family,Cust1455,10,2012
264,500/1000,2000,1353.33,0,not-in-family,Cust1456,1,2014
78,100/300,500,1175.51,0,husband,Cust1457,3,1992
123,100/300,2000,1836.02,0,own-child,Cust1458,12,2012
347,500/1000,500,1480.79,9000000,unmarried,Cust1459,10,1996
410,100/300,2000,714.03,0,own-child,Cust1462,8,2010
448,100/300,2000,1376.16,0,own-child,Cust1463,3,2005
43,500/1000,1000,1601.47,0,other-relative,Cust1465,3,2014
33,500/1000,1000,1096.79,6000000,unmarried,Cust1466,8,1997
126,100/300,2000,1078.22,0,wife,Cust1467,11,2007
411,250/500,1000,1595.28,0,other-relative,Cust1468,7,1992
35,100/300,2000,1117.42,0,not-in-family,Cust1470,9,2002
195,500/1000,2000,1294.93,6000000,unmarried,Cust1472,5,1993
300,100/300,1000,1441.21,0,wife,Cust1474,12,1995
67,250/500,1000,1861.43,0,husband,Cust1477,11,1995
380,100/300,1000,1570.86,0,other-relative,Cust1478,11,2004
389,500/1000,2000,791.47,0,unmarried,Cust1479,3,1998
317,250/500,1000,1012.78,0,other-relative,Cust1480,7,1999
20,250/500,1000,1390.29,0,other-relative,Cust1482,1,2005
116,500/1000,500,951.46,0,not-in-family,Cust1483,11,2001
222,100/300,1000,1226.78,0,unmarried,Cust1484,12,2012
439,100/300,500,1280.9,0,own-child,Cust1485,5,1997
128,500/1000,1000,1878.44,0,husband,Cust1487,11,2010
69,500/1000,500,1418.5,0,other-relative,Cust1488,6,1992
294,100/300,500,1532.8,0,own-child,Cust1489,6,2010
19,250/500,500,1304.35,0,not-in-family,Cust1490,10,2002
4,100/300,1000,1326.98,6000000,unmarried,Cust1492,9,1996
298,250/500,500,862.92,0,wife,Cust1493,3,1998
338,250/500,2000,1486.04,0,own-child,Cust1495,1,2008
261,100/300,1000,870.55,0,unmarried,Cust1496,9,2000
321,500/1000,2000,1344.56,6000000,husband,Cust1497,4,2008
405,250/500,500,1237.88,0,not-in-family,Cust1499,4,2012
1,500/1000,500,854.58,0,other-relative,Cust1501,5,2006
26,250/500,1000,770.76,0,husband,Cust1502,1,1992
202,100/300,2000,1132.74,0,husband,Cust1503,1,2009
289,500/1000,500,1173.37,8000000,own-child,Cust1504,8,1995
334,100/300,1000,876.88,6000000,other-relative,Cust1506,1,2013
83,500/1000,1000,-1.0,0,unmarried,Cust1509,1,2006
126,500/1000,2000,916.13,0,unmarried,Cust1510,9,1998
209,250/500,500,1191.5,0,husband,Cust1511,1,2010
283,500/1000,1000,1474.66,0,husband,Cust1512,1,2003
194,250/500,1000,1193.45,0,not-in-family,Cust1513,5,2004
184,250/500,1000,1437.53,0,not-in-family,Cust1514,9,1994
479,100/300,2000,1304.83,0,husband,Cust1515,7,1997
284,250/500,1000,1168.8,0,other-relative,Cust1516,3,1991
222,250/500,1000,1232.72,0,own-child,Cust1518,1,2012
196,250/500,2000,1800.76,0,other-relative,Cust1519,7,2001
280,100/300,1000,1559.34,0,own-child,Cust1521,7,2012
5,250/500,2000,1137.02,0,not-in-family,Cust1522,7,2014
85,100/300,1000,796.35,0,own-child,Cust1524,12,2001
266,250/500,500,1270.02,0,own-child,Cust1525,3,1990
41,100/300,1000,1383.13,0,own-child,Cust1526,3,2006
316,100/300,2000,1290.74,5000000,husband,Cust1527,12,2013
379,100/300,500,1251.16,0,not-in-family,Cust1529,12,2001
15,250/500,2000,1586.41,0,other-relative,Cust1530,4,2005
354,500/1000,2000,1526.11,5000000,unmarried,Cust1531,4,2003
342,100/300,1000,1028.44,0,not-in-family,Cust1532,11,2005
169,100/300,1000,1555.94,0,own-child,Cust1533,1,2005
259,100/300,2000,1170.53,0,wife,Cust1535,1,1996
65,250/500,1000,1099.95,0,wife,Cust1536,12,1999
254,250/500,2000,1472.43,0,husband,Cust1537,7,2004
440,250/500,500,1275.62,0,other-relative,Cust1538,11,2012
478,250/500,1000,1292.3,0,own-child,Cust1539,6,2009
230,250/500,2000,1009.37,0,other-relative,Cust1540,6,2000
138,500/1000,500,1093.07,4000000,wife,Cust1541,1,2002
239,250/500,1000,1325.44,7000000,other-relative,Cust1542,11,2013
93,100/300,2000,1017.18,0,husband,Cust1543,1,2008
37,100/300,1000,1221.17,0,not-in-family,Cust1544,3,2003
313,100/300,2000,1255.62,0,unmarried,Cust1548,6,2004
210,250/500,500,999.52,0,other-relative,Cust1549,12,1998
101,250/500,500,1380.89,0,own-child,Cust1550,8,2014
153,500/1000,500,1010.77,0,unmarried,Cust1551,11,2005
337,100/300,500,1205.86,0,wife,Cust1552,5,2000
360,500/1000,1000,1526.61,0,not-in-family,Cust1553,11,2001
428,100/300,1000,1496.44,0,unmarried,Cust1554,5,2014
364,100/300,500,1268.35,0,wife,Cust1556,4,1992
185,500/1000,2000,1421.59,0,own-child,Cust1557,3,2000
63,500/1000,500,1500.04,6000000,own-child,Cust1558,10,1995
210,100/300,500,1433.24,0,not-in-family,Cust1559,4,2014
194,100/300,2000,1231.25,0,not-in-family,Cust1560,1,2011
27,100/300,2000,1118.76,0,own-child,Cust1563,6,2002
251,500/1000,2000,1231.98,0,not-in-family,Cust1564,4,1999
392,100/300,2000,1108.97,0,not-in-family,Cust1566,8,1991
143,100/300,500,1392.39,5000000,unmarried,Cust1567,11,1991
292,250/500,1000,1588.22,0,other-relative,Cust1569,3,2007
158,100/300,1000,1744.64,3000000,unmarried,Cust1571,12,2013
102,100/300,500,1537.07,3000000,wife,Cust1575,9,2014
182,100/300,1000,1022.42,0,husband,Cust1576,12,2011
282,100/300,2000,1558.86,0,wife,Cust1577,8,1991
