CustomerID,InsuredAge,InsuredGender,InsuredEducationLevel,InsuredOccupation,CapitalGains,CapitalLoss
Cust10046,32,FEMALE,Masters,machine-op-inspct,0,0
Cust10047,27,FEMALE,Masters,protective-serv,0,0
Cust10049,42,MALE,High School,prof-specialty,0,0
Cust1005,44,MALE,Associate,sales,66000,-46000
Cust10051,38,FEMALE,College,farming-fishing,0,-62500
Cust10052,25,MALE,Associate,machine-op-inspct,0,-45300
Cust10053,34,MALE,Associate,machine-op-inspct,0,-45300
Cust10054,34,MALE,JD,machine-op-inspct,0,0
Cust10057,35,FEMALE,Masters,priv-house-serv,36700,-73400
Cust10058,35,FEMALE,JD,prof-specialty,0,0
Cust10059,35,FEMALE,JD,exec-managerial,0,-51000
Cust1006,39,FEMALE,PhD,tech-support,0,0
Cust10061,49,MALE,PhD,sales,54900,-72500
Cust10063,29,FEMALE,PhD,sales,0,0
Cust10064,55,MALE,MD,exec-managerial,0,-42700
Cust10065,40,MALE,MD,exec-managerial,0,-42700
Cust10067,35,FEMALE,PhD,machine-op-inspct,0,0
Cust10068,51,MALE,High School,protective-serv,90700,0
Cust1007,34,MALE,PhD,prof-specialty,0,-77000
Cust10072,44,FEMALE,High School,prof-specialty,0,0
Cust10073,27,FEMALE,High School,prof-specialty,0,0
Cust10076,47,FEMALE,Masters,priv-house-serv,0,0
Cust10078,46,MALE,MD,transport-moving,0,0
Cust10079,47,MALE,MD,priv-house-serv,0,0
Cust10080,44,MALE,Associate,prof-specialty,0,0
Cust10081,50,MALE,Associate,prof-specialty,0,0
Cust10082,40,FEMALE,College,tech-support,0,-57700
Cust10083,34,FEMALE,PhD,tech-support,0,-57700
Cust10084,33,MALE,Masters,handlers-cleaners,0,0
Cust10085,31,MALE,Masters,handlers-cleaners,0,-64700
Cust10086,40,FEMALE,High School,machine-op-inspct,0,-64100
Cust10087,34,FEMALE,High School,machine-op-inspct,0,-45200
Cust10088,41,FEMALE,Masters,exec-managerial,0,0
Cust10089,42,FEMALE,College,exec-managerial,0,-45300
Cust1009,33,FEMALE,PhD,other-service,0,0
Cust10090,35,MALE,College,transport-moving,0,-39700
Cust10091,38,FEMALE,College,transport-moving,0,0
Cust10092,30,FEMALE,Associate,adm-clerical,0,0
Cust10093,33,FEMALE,Associate,farming-fishing,0,-50400
Cust10094,31,FEMALE,High School,machine-op-inspct,0,0
Cust10096,39,FEMALE,JD,armed-forces,64000,0
Cust10097,39,FEMALE,College,armed-forces,64000,0
Cust10098,44,MALE,Masters,prof-specialty,0,0
Cust10099,29,MALE,Masters,priv-house-serv,0,0
Cust1010,42,MALE,PhD,priv-house-serv,0,-39300
Cust10101,38,FEMALE,Associate,armed-forces,73700,0
Cust10104,49,FEMALE,Masters,transport-moving,0,0
Cust10105,50,FEMALE,Masters,priv-house-serv,0,0
Cust10107,37,FEMALE,JD,priv-house-serv,0,0
Cust10108,45,MALE,High School,priv-house-serv,0,0
Cust10109,45,MALE,Masters,priv-house-serv,0,0
Cust1011,42,FEMALE,Masters,exec-managerial,38400,0
Cust10110,40,FEMALE,High School,exec-managerial,56900,-37100
Cust10111,34,FEMALE,JD,exec-managerial,0,-37100
Cust10112,41,FEMALE,College,tech-support,0,0
Cust10113,41,FEMALE,College,tech-support,0,0
Cust10114,36,FEMALE,College,prof-specialty,0,0
Cust10117,21,MALE,Associate,machine-op-inspct,0,-45300
Cust1012,61,FEMALE,High School,exec-managerial,0,-51000
Cust10120,35,MALE,JD,prof-specialty,0,0
Cust10121,35,MALE,Masters,prof-specialty,44900,0
Cust10123,32,FEMALE,High School,priv-house-serv,63600,0
Cust10124,53,MALE,Masters,transport-moving,0,0
Cust10125,53,MALE,MD,transport-moving,0,0
Cust10126,35,FEMALE,College,transport-moving,0,0
Cust10127,41,FEMALE,JD,transport-moving,0,-67400
Cust10128,45,MALE,PhD,priv-house-serv,83200,0
Cust10129,44,FEMALE,PhD,priv-house-serv,83200,0
Cust1013,23,MALE,MD,protective-serv,0,0
Cust10131,31,MALE,College,priv-house-serv,67900,0
Cust10133,43,MALE,Associate,priv-house-serv,0,0
Cust10135,28,MALE,MD,machine-op-inspct,55200,0
Cust10136,26,MALE,Associate,priv-house-serv,54600,0
Cust10137,23,MALE,JD,priv-house-serv,54600,0
Cust10138,47,FEMALE,High School,other-service,0,0
Cust1014,34,FEMALE,MD,armed-forces,52800,-32800
Cust10140,34,MALE,Masters,handlers-cleaners,0,-52100
Cust10141,37,MALE,Masters,tech-support,83900,-66000
Cust10142,34,MALE,Masters,farming-fishing,0,0
Cust10143,33,MALE,Masters,farming-fishing,0,-55400
Cust10144,27,MALE,Masters,tech-support,54600,0
Cust10145,36,MALE,MD,priv-house-serv,35400,-45500
Cust10146,34,FEMALE,JD,prof-specialty,70900,-61100
Cust10148,36,FEMALE,Associate,sales,67100,0
Cust10149,37,FEMALE,Associate,tech-support,23600,0
Cust1015,38,FEMALE,College,machine-op-inspct,41300,-55500
Cust10150,37,FEMALE,JD,priv-house-serv,0,0
Cust10152,46,MALE,College,armed-forces,0,0
Cust10153,45,MALE,College,armed-forces,0,0
Cust10154,33,FEMALE,PhD,transport-moving,78300,0
Cust10155,34,FEMALE,PhD,transport-moving,37900,0
Cust10156,32,FEMALE,Masters,other-service,0,0
Cust10157,33,FEMALE,Masters,other-service,0,0
Cust10158,34,FEMALE,PhD,other-service,67800,-50300
Cust10159,33,FEMALE,PhD,other-service,67800,-50300
Cust10160,40,FEMALE,College,machine-op-inspct,36600,-51200
Cust10162,36,FEMALE,College,priv-house-serv,12100,0
Cust10163,36,FEMALE,Associate,priv-house-serv,71200,0
Cust10164,38,FEMALE,MD,transport-moving,0,0
Cust10165,39,FEMALE,MD,transport-moving,33000,-43600
Cust10166,29,FEMALE,Associate,machine-op-inspct,0,-42700
Cust10167,30,FEMALE,JD,machine-op-inspct,46500,0
Cust10169,42,MALE,MD,adm-clerical,38000,-50300
Cust1017,26,MALE,College,machine-op-inspct,63600,0
Cust10170,40,MALE,Masters,craft-repair,0,0
Cust10171,34,MALE,PhD,craft-repair,0,0
Cust10172,48,FEMALE,MD,priv-house-serv,0,0
Cust10173,49,MALE,MD,priv-house-serv,0,0
Cust10177,53,MALE,MD,sales,0,0
Cust10178,40,MALE,Associate,prof-specialty,0,-72900
Cust10179,38,MALE,Associate,prof-specialty,0,-72900
Cust1018,31,MALE,High School,machine-op-inspct,53500,0
Cust10180,36,MALE,PhD,handlers-cleaners,64400,0
Cust10181,37,MALE,PhD,exec-managerial,0,-40800
Cust10183,32,FEMALE,High School,handlers-cleaners,45500,-60600
Cust10185,34,FEMALE,Masters,machine-op-inspct,54500,0
Cust10187,51,FEMALE,PhD,machine-op-inspct,47900,0
Cust10188,47,FEMALE,High School,protective-serv,49600,0
Cust10189,38,FEMALE,High School,farming-fishing,53000,0
Cust10190,38,FEMALE,PhD,craft-repair,0,0
Cust10191,38,FEMALE,Masters,protective-serv,0,0
Cust10192,39,MALE,Associate,tech-support,0,-8500
Cust10193,42,MALE,Associate,tech-support,0,-8500
Cust10194,44,MALE,PhD,armed-forces,0,-62400
Cust10195,44,MALE,PhD,other-service,0,0
Cust10196,48,FEMALE,PhD,farming-fishing,0,0
Cust10197,45,FEMALE,PhD,farming-fishing,0,0
Cust10199,36,FEMALE,Masters,other-service,34500,-60600
Cust10200,49,MALE,PhD,machine-op-inspct,0,0
Cust10201,55,MALE,College,exec-managerial,0,0
Cust10202,44,FEMALE,PhD,prof-specialty,0,-41200
Cust10203,44,FEMALE,PhD,priv-house-serv,0,-45100
Cust10205,43,MALE,JD,priv-house-serv,49600,-28700
Cust10207,50,MALE,JD,armed-forces,48900,-32600
Cust10208,27,MALE,College,adm-clerical,0,-31700
Cust10209,27,MALE,College,adm-clerical,0,-31700
Cust1021,62,MALE,JD,other-service,0,0
Cust10210,41,MALE,High School,transport-moving,0,-54600
Cust10211,44,MALE,Masters,transport-moving,0,-54600
Cust10214,40,MALE,College,prof-specialty,23300,0
Cust10215,45,MALE,College,prof-specialty,0,0
Cust10216,36,MALE,High School,armed-forces,0,-30400
Cust10217,34,MALE,Associate,armed-forces,0,-30400
Cust10219,36,FEMALE,Associate,machine-op-inspct,0,0
Cust1022,41,FEMALE,Associate,machine-op-inspct,46700,0
Cust10220,38,FEMALE,College,other-service,0,0
Cust10221,39,MALE,College,other-service,0,-71700
Cust10222,36,FEMALE,High School,machine-op-inspct,0,0
Cust10223,40,FEMALE,High School,adm-clerical,0,0
Cust10224,45,MALE,JD,priv-house-serv,0,-49400
Cust10225,45,MALE,JD,priv-house-serv,36400,-28700
Cust10226,37,MALE,Associate,machine-op-inspct,0,-39100
Cust10229,29,FEMALE,College,armed-forces,61400,-41100
Cust1023,55,MALE,High School,prof-specialty,72700,-68200
Cust10231,46,FEMALE,JD,sales,0,0
Cust10232,47,FEMALE,JD,craft-repair,36800,0
Cust10233,42,MALE,JD,craft-repair,36800,0
Cust10234,38,FEMALE,Masters,tech-support,0,-53700
Cust10235,38,FEMALE,Masters,tech-support,0,-53700
Cust10236,28,FEMALE,College,armed-forces,0,0
Cust10237,29,FEMALE,College,armed-forces,0,-37500
Cust10239,33,FEMALE,PhD,handlers-cleaners,0,-40900
Cust1024,55,MALE,MD,priv-house-serv,0,-31000
Cust10240,46,FEMALE,High School,sales,0,0
Cust10241,44,FEMALE,MD,priv-house-serv,0,0
Cust10242,42,FEMALE,MD,tech-support,51400,0
Cust10243,32,FEMALE,MD,tech-support,0,0
Cust10244,26,MALE,MD,prof-specialty,66300,-68100
Cust10246,35,FEMALE,High School,machine-op-inspct,0,-75700
Cust10247,36,FEMALE,High School,machine-op-inspct,0,0
Cust10248,27,MALE,College,sales,55300,-61500
Cust10249,29,MALE,College,priv-house-serv,50400,-58400
Cust1025,40,MALE,College,craft-repair,0,-53500
Cust10250,38,MALE,College,priv-house-serv,32800,-50600
Cust10254,35,MALE,JD,adm-clerical,0,0
Cust10256,53,FEMALE,High School,machine-op-inspct,0,0
Cust10257,57,MALE,College,machine-op-inspct,0,0
Cust10259,43,FEMALE,JD,tech-support,0,-42400
Cust1026,35,MALE,Masters,sales,0,0
Cust10260,27,FEMALE,College,adm-clerical,0,-55800
Cust10262,33,MALE,JD,protective-serv,0,-78600
Cust10264,41,FEMALE,Associate,tech-support,46300,-33000
Cust10266,37,MALE,JD,transport-moving,0,0
Cust10268,27,FEMALE,JD,other-service,31500,0
Cust10269,32,MALE,PhD,farming-fishing,0,0
Cust1027,43,MALE,High School,prof-specialty,0,-29200
Cust10270,43,MALE,College,priv-house-serv,33500,-49500
Cust10272,32,FEMALE,MD,adm-clerical,72400,-71200
Cust10273,38,FEMALE,MD,adm-clerical,72400,-77000
Cust10274,39,FEMALE,Associate,tech-support,0,0
Cust10275,28,FEMALE,Associate,tech-support,0,0
Cust10276,27,FEMALE,JD,farming-fishing,46700,0
Cust10277,27,FEMALE,JD,farming-fishing,0,0
Cust10278,42,FEMALE,High School,prof-specialty,58300,0
Cust10279,38,FEMALE,High School,craft-repair,58300,0
Cust1028,34,MALE,JD,exec-managerial,31000,-30200
Cust10281,48,FEMALE,Masters,sales,0,0
Cust10283,54,FEMALE,College,prof-specialty,41400,0
Cust10285,47,FEMALE,Masters,machine-op-inspct,0,0
Cust10286,53,FEMALE,College,machine-op-inspct,0,0
Cust10288,45,MALE,PhD,prof-specialty,23300,0
Cust10289,43,MALE,College,craft-repair,23300,0
Cust10290,52,MALE,JD,adm-clerical,98800,-53200
Cust10291,54,MALE,JD,adm-clerical,0,-53200
Cust10292,54,FEMALE,PhD,armed-forces,65000,-49200
Cust10293,51,FEMALE,PhD,tech-support,65000,-57700
Cust10294,54,MALE,MD,tech-support,0,-90600
Cust10295,50,MALE,MD,exec-managerial,0,-42700
Cust10296,43,FEMALE,PhD,priv-house-serv,42200,-56200
Cust10297,44,FEMALE,Associate,handlers-cleaners,42200,-56200
Cust10298,41,FEMALE,High School,craft-repair,45400,-39400
Cust10299,43,FEMALE,College,prof-specialty,78800,-39400
Cust10302,44,FEMALE,JD,sales,51400,0
Cust10303,55,FEMALE,JD,sales,51400,0
Cust10306,25,FEMALE,Masters,protective-serv,49300,0
Cust10307,25,FEMALE,Masters,protective-serv,49300,0
Cust10308,30,FEMALE,Associate,sales,65700,-54600
Cust1031,25,MALE,Masters,prof-specialty,53200,0
Cust10312,51,FEMALE,JD,tech-support,0,0
Cust10314,34,MALE,Associate,adm-clerical,30000,-53000
Cust10315,33,MALE,PhD,adm-clerical,58000,-53000
Cust10316,35,FEMALE,High School,transport-moving,0,0
Cust10317,37,MALE,High School,machine-op-inspct,52300,0
Cust10318,47,MALE,High School,armed-forces,0,0
Cust10319,48,FEMALE,High School,armed-forces,0,-34600
Cust10320,35,FEMALE,High School,tech-support,0,0
Cust10321,37,FEMALE,High School,priv-house-serv,0,0
Cust10322,48,FEMALE,JD,sales,0,0
Cust10323,48,FEMALE,JD,craft-repair,0,0
Cust10326,27,MALE,PhD,craft-repair,0,-36500
Cust10327,34,MALE,MD,craft-repair,0,-36500
Cust10328,37,FEMALE,PhD,craft-repair,46500,0
Cust10329,37,FEMALE,MD,craft-repair,0,0
Cust1033,35,FEMALE,Associate,adm-clerical,81100,0
Cust10330,41,MALE,Masters,prof-specialty,0,0
Cust10332,27,FEMALE,College,adm-clerical,43000,-55800
Cust10333,27,FEMALE,College,adm-clerical,43000,-55800
Cust10334,38,MALE,Associate,other-service,0,-31700
Cust10335,39,MALE,Associate,tech-support,0,-31700
Cust10336,33,FEMALE,JD,protective-serv,58100,-49000
Cust10337,33,FEMALE,JD,protective-serv,58100,-49000
Cust10338,44,FEMALE,PhD,sales,68400,-55600
Cust1034,30,MALE,High School,farming-fishing,51400,-64000
Cust10340,30,FEMALE,High School,exec-managerial,0,-65700
Cust10341,33,FEMALE,College,transport-moving,0,-65700
Cust10343,43,MALE,JD,machine-op-inspct,57900,-53800
Cust10344,42,MALE,College,craft-repair,0,0
Cust10345,43,MALE,College,prof-specialty,0,-49900
Cust10347,45,MALE,JD,other-service,0,0
Cust10348,40,FEMALE,College,tech-support,0,0
Cust10349,40,FEMALE,College,adm-clerical,0,0
Cust1035,37,MALE,PhD,prof-specialty,0,0
Cust10350,34,FEMALE,Masters,other-service,0,0
Cust10351,47,FEMALE,MD,other-service,0,0
Cust10352,41,MALE,PhD,priv-house-serv,50000,-28700
Cust10353,41,MALE,PhD,other-service,50000,-28700
Cust10355,46,MALE,MD,priv-house-serv,51100,0
Cust10356,48,MALE,PhD,machine-op-inspct,0,0
Cust10358,45,MALE,High School,transport-moving,0,-40200
Cust1036,33,MALE,High School,craft-repair,53300,-49200
Cust10360,36,MALE,Associate,protective-serv,0,0
Cust10361,32,MALE,Associate,protective-serv,37700,0
Cust10362,33,FEMALE,JD,transport-moving,78300,-38500
Cust10363,32,FEMALE,JD,transport-moving,78300,-38500
Cust10365,46,MALE,Masters,machine-op-inspct,0,-57000
Cust10366,38,FEMALE,High School,priv-house-serv,0,0
Cust10368,35,MALE,MD,machine-op-inspct,0,0
Cust10369,35,MALE,MD,priv-house-serv,0,-55800
Cust1037,28,FEMALE,Masters,protective-serv,0,0
Cust10370,37,FEMALE,MD,sales,0,0
Cust10371,38,MALE,MD,sales,40100,0
Cust10373,50,MALE,Masters,other-service,0,0
Cust10375,27,FEMALE,Associate,sales,0,0
Cust10376,36,FEMALE,College,handlers-cleaners,0,0
Cust10377,36,FEMALE,High School,handlers-cleaners,0,0
Cust10379,41,FEMALE,College,tech-support,0,0
Cust1038,49,FEMALE,JD,priv-house-serv,0,0
Cust10382,39,MALE,JD,farming-fishing,0,-28800
Cust10383,38,FEMALE,JD,farming-fishing,0,0
Cust10384,39,FEMALE,College,handlers-cleaners,0,0
Cust10385,40,FEMALE,College,prof-specialty,45500,0
Cust10386,42,FEMALE,Masters,sales,71300,-56800
Cust10388,43,FEMALE,Masters,handlers-cleaners,0,0
Cust10389,46,MALE,College,transport-moving,0,0
Cust1039,54,FEMALE,MD,craft-repair,65700,0
Cust10390,36,MALE,College,craft-repair,0,-26400
Cust10391,35,MALE,Masters,machine-op-inspct,0,-53500
Cust10393,30,FEMALE,Associate,adm-clerical,46000,0
Cust10394,29,MALE,JD,armed-forces,0,-48500
Cust10395,35,MALE,JD,armed-forces,70600,0
Cust10397,39,MALE,PhD,machine-op-inspct,71500,0
Cust10398,34,FEMALE,Associate,farming-fishing,33300,-10600
Cust1040,37,MALE,JD,tech-support,48500,0
Cust10400,31,FEMALE,High School,exec-managerial,0,0
Cust10401,24,FEMALE,High School,exec-managerial,0,0
Cust10402,47,FEMALE,MD,adm-clerical,0,0
Cust10403,47,FEMALE,MD,adm-clerical,0,0
Cust10404,55,FEMALE,Masters,priv-house-serv,0,0
Cust10405,44,FEMALE,Masters,protective-serv,0,0
Cust10406,46,MALE,Masters,transport-moving,0,0
Cust10407,52,MALE,Masters,transport-moving,0,-24400
Cust10408,38,MALE,MD,exec-managerial,0,0
Cust10409,33,MALE,MD,exec-managerial,0,0
Cust1041,26,MALE,Associate,tech-support,0,-55700
Cust10412,44,MALE,High School,handlers-cleaners,57900,0
Cust10414,38,MALE,High School,prof-specialty,0,-65200
Cust10417,41,MALE,JD,craft-repair,33200,-61400
Cust10419,34,MALE,MD,exec-managerial,66300,0
Cust1042,34,MALE,Associate,transport-moving,0,-24100
Cust10420,40,MALE,JD,armed-forces,0,-32600
Cust10421,30,MALE,JD,farming-fishing,0,-40900
Cust10423,39,FEMALE,Associate,machine-op-inspct,0,0
Cust10428,33,MALE,Associate,armed-forces,0,0
Cust10429,32,MALE,Associate,armed-forces,0,0
Cust1043,23,FEMALE,College,prof-specialty,0,-67400
Cust10430,57,FEMALE,MD,machine-op-inspct,0,-67800
Cust10431,54,FEMALE,College,machine-op-inspct,43600,0
Cust10432,50,MALE,College,exec-managerial,0,0
Cust10433,47,MALE,Masters,sales,0,0
Cust10434,40,MALE,Associate,machine-op-inspct,43700,0
Cust10436,32,FEMALE,High School,machine-op-inspct,0,0
Cust10438,37,FEMALE,Associate,prof-specialty,0,-48400
Cust10439,36,FEMALE,Associate,prof-specialty,0,-48400
Cust1044,30,FEMALE,PhD,transport-moving,49700,-60200
Cust10440,37,MALE,Masters,protective-serv,0,-54600
Cust10441,41,MALE,Masters,protective-serv,0,-54600
Cust10443,32,MALE,Masters,handlers-cleaners,0,0
Cust10444,33,FEMALE,High School,transport-moving,0,-44600
Cust10445,39,FEMALE,High School,transport-moving,0,-44600
Cust10446,43,,PhD,other-service,0,0
Cust10447,45,FEMALE,PhD,craft-repair,0,0
Cust10448,47,MALE,Associate,adm-clerical,0,0
Cust10449,45,MALE,Associate,adm-clerical,0,0
Cust10450,48,FEMALE,Masters,armed-forces,0,-78300
Cust10452,50,FEMALE,JD,other-service,44400,0
Cust10453,51,MALE,JD,other-service,0,-71500
Cust10454,33,FEMALE,High School,exec-managerial,79900,-51000
Cust10455,33,FEMALE,High School,exec-managerial,0,0
Cust10456,51,MALE,Associate,tech-support,0,0
Cust10457,51,MALE,College,armed-forces,0,-74400
Cust10458,37,FEMALE,MD,craft-repair,0,-77000
Cust10459,35,FEMALE,MD,adm-clerical,0,-71200
Cust1046,40,FEMALE,MD,protective-serv,0,0
Cust10460,34,MALE,High School,exec-managerial,50700,0
Cust10461,36,FEMALE,High School,exec-managerial,27600,-57600
Cust10463,40,MALE,College,craft-repair,0,0
Cust10464,31,MALE,JD,other-service,57800,-40400
Cust10465,31,MALE,JD,other-service,55400,-53700
Cust10466,34,FEMALE,JD,exec-managerial,0,0
Cust10467,33,FEMALE,College,handlers-cleaners,0,0
Cust10468,42,MALE,JD,adm-clerical,0,0
Cust10469,56,FEMALE,JD,adm-clerical,0,0
Cust1047,33,FEMALE,Associate,other-service,35300,0
Cust10471,27,FEMALE,High School,armed-forces,0,-49500
Cust10472,35,MALE,Associate,handlers-cleaners,0,0
Cust10474,35,MALE,Masters,machine-op-inspct,82100,0
Cust10475,33,MALE,Masters,machine-op-inspct,55100,0
Cust10478,35,FEMALE,JD,sales,0,-67800
Cust1048,47,MALE,College,other-service,0,0
Cust10480,49,MALE,College,exec-managerial,42700,0
Cust10481,56,FEMALE,College,exec-managerial,42700,0
Cust10482,48,MALE,High School,farming-fishing,0,0
Cust10484,48,FEMALE,PhD,priv-house-serv,0,-33800
Cust10485,45,FEMALE,PhD,priv-house-serv,42200,0
Cust10487,33,FEMALE,High School,prof-specialty,41300,-42000
Cust10488,34,FEMALE,College,prof-specialty,38900,-48700
Cust10489,42,FEMALE,College,prof-specialty,38900,-48700
Cust1049,34,FEMALE,PhD,protective-serv,0,0
Cust10490,35,MALE,JD,other-service,0,0
Cust10492,37,MALE,Masters,machine-op-inspct,0,-39800
Cust10493,36,MALE,Masters,machine-op-inspct,0,-39800
Cust10494,52,MALE,JD,exec-managerial,0,0
Cust10495,54,MALE,JD,exec-managerial,0,0
Cust10496,45,FEMALE,MD,craft-repair,0,-41300
Cust10498,43,FEMALE,Masters,other-service,37800,0
Cust10499,41,FEMALE,Masters,other-service,37800,0
Cust1050,35,FEMALE,Masters,exec-managerial,0,-40300
Cust10500,31,FEMALE,PhD,other-service,46500,0
Cust10501,32,FEMALE,Masters,other-service,46500,0
Cust10503,29,FEMALE,College,farming-fishing,0,-85900
Cust10504,39,MALE,College,armed-forces,40900,0
Cust10505,38,MALE,College,adm-clerical,40900,0
Cust10506,29,MALE,High School,other-service,0,0
Cust10509,31,MALE,JD,transport-moving,0,-45700
Cust1051,59,MALE,MD,other-service,0,0
Cust10510,31,MALE,JD,other-service,55400,-53700
Cust10511,32,MALE,JD,other-service,57800,-40400
Cust10512,45,FEMALE,High School,other-service,44500,-61400
Cust10513,42,FEMALE,Masters,machine-op-inspct,44500,-61400
Cust10517,55,MALE,High School,protective-serv,31400,-64500
Cust10518,41,MALE,Associate,armed-forces,0,0
Cust10520,28,MALE,Associate,other-service,0,0
Cust10522,45,MALE,High School,other-service,26700,-47200
Cust10524,43,MALE,Associate,tech-support,0,0
Cust10525,37,FEMALE,Associate,tech-support,0,0
Cust10526,43,MALE,JD,transport-moving,0,0
Cust10527,43,MALE,College,transport-moving,52500,0
Cust10528,45,FEMALE,High School,craft-repair,0,-61400
Cust10529,46,MALE,High School,exec-managerial,0,-61400
Cust1053,39,MALE,College,armed-forces,0,0
Cust10530,42,MALE,PhD,armed-forces,0,-36300
Cust10531,42,MALE,PhD,priv-house-serv,0,-36300
Cust10532,48,MALE,PhD,handlers-cleaners,45100,-32800
Cust10533,42,MALE,PhD,armed-forces,45100,-32800
Cust10535,35,MALE,JD,prof-specialty,0,0
Cust10536,35,MALE,High School,machine-op-inspct,14100,-59400
Cust10538,32,FEMALE,PhD,farming-fishing,0,0
Cust10539,30,FEMALE,PhD,farming-fishing,0,0
Cust1054,40,FEMALE,JD,priv-house-serv,88400,-46500
Cust10541,47,FEMALE,High School,craft-repair,46700,-72500
Cust10542,36,MALE,College,transport-moving,63100,-13800
Cust10543,39,MALE,PhD,transport-moving,63100,-50600
Cust10544,36,FEMALE,Associate,tech-support,0,0
Cust10545,35,FEMALE,Associate,protective-serv,83600,-35900
Cust10546,31,FEMALE,Associate,other-service,39900,-44000
Cust10547,31,FEMALE,Associate,other-service,39900,-44000
Cust10548,44,MALE,MD,tech-support,0,-55800
Cust1055,39,MALE,PhD,machine-op-inspct,47600,-39600
Cust10550,44,FEMALE,Masters,handlers-cleaners,0,0
Cust10551,43,FEMALE,Masters,handlers-cleaners,0,0
Cust10552,31,MALE,JD,protective-serv,0,0
Cust10554,49,FEMALE,Masters,handlers-cleaners,0,-59500
Cust10555,42,FEMALE,Masters,handlers-cleaners,0,-59500
Cust10556,29,MALE,MD,prof-specialty,67900,0
Cust10558,29,MALE,Masters,handlers-cleaners,0,0
Cust10561,42,FEMALE,Masters,exec-managerial,0,0
Cust10562,43,MALE,Associate,exec-managerial,0,-36000
Cust10563,45,MALE,Associate,exec-managerial,0,-36000
Cust10564,42,MALE,Associate,craft-repair,66100,0
Cust10565,36,MALE,Associate,craft-repair,66100,-31400
Cust10567,33,FEMALE,Masters,priv-house-serv,0,-47100
Cust10568,28,MALE,Associate,prof-specialty,0,0
Cust1057,56,FEMALE,PhD,prof-specialty,36100,-55000
Cust10572,42,FEMALE,College,tech-support,0,0
Cust10573,40,FEMALE,College,tech-support,0,0
Cust10575,36,MALE,PhD,machine-op-inspct,58600,-28700
Cust10576,29,FEMALE,MD,priv-house-serv,28600,0
Cust10577,26,FEMALE,MD,prof-specialty,0,0
Cust10578,42,FEMALE,PhD,transport-moving,67800,0
Cust1058,32,FEMALE,Masters,adm-clerical,0,0
Cust10580,27,FEMALE,JD,prof-specialty,10000,0
Cust10581,34,FEMALE,Associate,prof-specialty,10000,-49300
Cust10583,37,FEMALE,PhD,craft-repair,0,0
Cust10584,36,MALE,JD,armed-forces,0,0
Cust10585,35,FEMALE,JD,armed-forces,0,0
Cust10586,51,FEMALE,MD,exec-managerial,51500,0
Cust10588,44,MALE,JD,prof-specialty,0,0
Cust10589,47,MALE,JD,prof-specialty,0,0
Cust1059,39,MALE,PhD,other-service,56600,-45800
Cust10590,33,FEMALE,High School,exec-managerial,61600,0
Cust10591,32,FEMALE,High School,priv-house-serv,0,0
Cust10592,43,FEMALE,College,prof-specialty,0,-19700
Cust10593,45,FEMALE,College,handlers-cleaners,0,-51400
Cust10595,42,FEMALE,Associate,adm-clerical,0,-50400
