CustomerID,VehicleModel,VehicleMake,VehicleYOM
Cust32122,Accord,Accura,0
Cust21222,Fusion,Ford,2
Cust28836,3 Series,Nissan,2
Cust13947,Neon,Saab,2
Cust19292,Impreza,Dodge,0
Cust16471,A3,Audi,1
Cust8794,Malibu,Chevrolet,0
Cust30431,Jetta,Volkswagen,1
Cust37944,Wrangler,Jeep,1
Cust9714,Wrangler,Jeep,1
Cust30078,Pathfinder,Suburu,0
Cust5898,Forrestor,Suburu,3
Cust34720,X6,BMW,1
Cust13878,Forrestor,Suburu,3
Cust3545,Accord,BMW,1
Cust29429,F150,Dodge,0
Cust1359,Grand Cherokee,Jeep,1
Cust8032,M5,Toyota,2
Cust29195,95,Audi,2
Cust17739,Wrangler,Jeep,3
Cust33177,C300,Mercedes,2
Cust13261,Escape,Ford,3
Cust29255,Malibu,Honda,2
Cust38074,Corolla,Toyota,3
Cust20892,E400,Nissan,2
Cust12603,Camry,Accura,2
Cust34499,Escape,Ford,1
Cust12087,3 Series,BMW,3
Cust38588,RSX,Accura,1
Cust8626,A5,Jeep,1
Cust24170,Accord,Honda,3
Cust38229,Grand Cherokee,Chevrolet,2
Cust12619,93,Saab,3
Cust32737,Camry,Toyota,1
Cust38195,Pathfinder,Nissan,2
Cust30773,Tahoe,Jeep,2
Cust34650,Ultima,Nissan,0
Cust13877,Neon,Nissan,0
Cust12321,ML350,Mercedes,1
Cust21037,Jetta,Nissan,0
Cust15466,92x,Toyota,0
Cust20468,Tahoe,Accura,3
Cust27953,Escape,Ford,3
Cust33714,A3,Suburu,2
Cust35003,CRV,Toyota,3
Cust31838,92x,Mercedes,0
Cust21431,Legacy,Suburu,1
Cust22157,A3,Audi,1
Cust5624,A5,Saab,1
Cust6016,Wrangler,BMW,0
Cust34475,Highlander,Toyota,1
Cust26085,RSX,Accura,0
Cust11161,TL,Audi,3
Cust16026,Passat,Accura,0
Cust1921,MDX,Accura,0
Cust21481,Pathfinder,Dodge,1
Cust15257,Jetta,Volkswagen,1
Cust13298,Maxima,Ford,2
Cust18559,E400,Mercedes,2
Cust27660,95,Audi,0
Cust10205,3 Series,BMW,3
Cust24392,Malibu,Accura,0
Cust5195,92x,Saab,1
Cust27287,Fusion,Ford,0
Cust38378,93,Saab,0
Cust38263,Civic,Honda,2
Cust13801,Grand Cherokee,Jeep,3
Cust31030,Accord,Nissan,0
Cust11822,X5,Honda,2
Cust5887,A3,Suburu,1
Cust32369,Legacy,Nissan,0
Cust21361,Tahoe,Accura,3
Cust11613,Passat,Dodge,2
Cust15016,A5,Jeep,1
Cust25042,Wrangler,Jeep,3
Cust2015,X5,BMW,0
Cust6317,A5,Dodge,3
Cust35540,Maxima,Nissan,3
Cust17876,Maxima,Nissan,1
Cust12666,Neon,Nissan,0
Cust33175,C300,Mercedes,1
Cust20508,Malibu,Chevrolet,0
Cust10389,93,Saab,1
Cust35412,Grand Cherokee,BMW,1
Cust19969,TL,Saab,1
Cust4249,Camry,Toyota,2
Cust16328,Corolla,Toyota,1
Cust31637,Corolla,Toyota,3
Cust36958,MDX,Dodge,2
Cust29523,Fusion,Nissan,1
Cust23099,3 Series,Chevrolet,3
Cust3538,MDX,Accura,0
Cust21011,Escape,Nissan,0
Cust35763,Wrangler,Jeep,2
Cust30503,Ultima,Nissan,1
Cust26282,Forrestor,Volkswagen,0
Cust7089,Escape,Ford,0
Cust24488,Corolla,Toyota,1
Cust4195,M5,Suburu,0
Cust31851,93,Accura,2
Cust11419,Camry,Toyota,3
Cust17919,93,Saab,3
Cust7709,Neon,Mercedes,2
Cust27007,Highlander,Ford,3
Cust21943,E400,Mercedes,2
Cust34509,Wrangler,Jeep,2
Cust11090,MDX,Saab,0
Cust3161,MDX,Volkswagen,2
Cust10987,MDX,Accura,1
Cust22662,MDX,Accura,1
Cust26073,Impreza,Volkswagen,2
Cust22422,Legacy,Chevrolet,1
Cust9095,Pathfinder,Nissan,1
Cust29082,X6,BMW,1
Cust10756,Legacy,Saab,0
Cust19320,Escape,Nissan,3
Cust33744,Silverado,Chevrolet,0
Cust6567,Forrestor,Suburu,1
Cust30386,Accord,Honda,2
Cust10065,Passat,Volkswagen,3
Cust17537,Ultima,Nissan,1
Cust36186,RSX,Accura,1
Cust7706,X5,BMW,0
Cust5767,Grand Cherokee,Jeep,2
Cust9007,Ultima,Toyota,1
Cust10262,Wrangler,Jeep,3
Cust31350,RAM,Dodge,0
Cust23896,Escape,Accura,0
Cust38963,RSX,Nissan,1
Cust8228,RAM,Mercedes,2
Cust18919,Impreza,Honda,3
Cust26198,E400,Mercedes,1
Cust30338,Silverado,Chevrolet,2
Cust30094,Wrangler,Jeep,2
Cust39120,Forrestor,Jeep,3
Cust9666,3 Series,BMW,2
Cust1865,Camry,Toyota,0
Cust6868,92x,Saab,0
Cust13323,Wrangler,Jeep,3
Cust39241,A3,Audi,3
Cust2102,MDX,Toyota,3
Cust29298,93,Saab,2
Cust30362,RAM,Suburu,3
Cust33651,Wrangler,Accura,3
Cust33725,Accord,Ford,0
Cust30702,E400,Suburu,0
Cust13365,Pathfinder,Volkswagen,0
Cust11757,Tahoe,Chevrolet,3
Cust20911,Grand Cherokee,Jeep,0
Cust3399,A5,Audi,2
Cust9969,RAM,Dodge,0
Cust26601,Malibu,Chevrolet,1
Cust2872,RAM,Chevrolet,3
Cust15702,MDX,Saab,0
Cust6962,M5,BMW,3
Cust35235,Legacy,Suburu,1
Cust32675,Civic,Nissan,0
Cust15193,Civic,Honda,1
Cust20927,MDX,Accura,1
Cust24224,95,Dodge,2
Cust24312,Passat,Volkswagen,1
Cust1307,ML350,Mercedes,0
Cust3948,A5,Audi,3
Cust35367,Corolla,Toyota,0
Cust33579,X6,BMW,0
Cust8908,X6,BMW,0
Cust33653,Wrangler,Accura,2
Cust25248,Passat,Volkswagen,2
Cust38167,Fusion,Ford,3
Cust37405,A3,Audi,3
Cust2795,Fusion,Chevrolet,2
Cust19833,RAM,Dodge,1
Cust38372,Neon,Dodge,0
Cust36869,Passat,Volkswagen,2
Cust35131,Pathfinder,Nissan,2
Cust19404,95,Saab,0
Cust19979,TL,Volkswagen,2
Cust38460,Grand Cherokee,Nissan,0
Cust28825,F150,Audi,1
Cust20213,Corolla,Toyota,1
Cust4857,A3,Dodge,0
Cust31956,RAM,Dodge,0
Cust22451,Malibu,Saab,0
Cust18319,A3,Audi,1
Cust19867,A3,Audi,3
Cust25732,Wrangler,Jeep,2
Cust26183,M5,Suburu,3
Cust28933,Ultima,Nissan,1
Cust25829,Silverado,Honda,2
Cust22778,Wrangler,Jeep,2
Cust8291,Passat,Jeep,1
Cust15442,Wrangler,Accura,2
Cust27558,E400,Nissan,3
Cust19135,C300,Accura,1
Cust37018,Legacy,Suburu,1
Cust13863,M5,Volkswagen,1
Cust33797,Corolla,Toyota,3
Cust32726,95,Saab,1
Cust36612,Highlander,Ford,2
Cust5982,Forrestor,Suburu,1
Cust28886,Wrangler,Nissan,1
Cust14222,Fusion,Ford,2
Cust13798,3 Series,Jeep,0
Cust28532,95,Saab,3
Cust5416,Impreza,Suburu,0
Cust4990,Silverado,Chevrolet,0
Cust26544,Fusion,Ford,2
Cust34357,E400,Toyota,3
Cust10644,Silverado,Chevrolet,0
Cust27952,Neon,Suburu,3
Cust27470,Passat,Volkswagen,2
Cust11547,TL,Accura,2
Cust7460,Civic,Mercedes,3
Cust36116,Jetta,Accura,0
Cust27194,Silverado,Mercedes,2
Cust30473,Corolla,Toyota,0
Cust5277,Grand Cherokee,Jeep,0
Cust24534,X5,Audi,3
Cust36582,M5,Toyota,2
Cust23024,Impreza,Dodge,0
Cust7786,Corolla,Toyota,0
Cust29443,Impreza,Toyota,1
Cust22527,Fusion,Ford,2
Cust6590,Fusion,Ford,3
Cust14374,Forrestor,Mercedes,0
Cust2934,Silverado,Saab,1
Cust39319,RSX,Accura,2
Cust8014,X5,Jeep,1
Cust4213,Wrangler,Nissan,2
Cust10877,RAM,Toyota,0
Cust5033,Jetta,Volkswagen,2
Cust18302,Grand Cherokee,Suburu,2
Cust36826,X5,BMW,0
Cust21138,A3,Audi,2
Cust4055,RAM,Mercedes,1
Cust18795,Maxima,Toyota,0
Cust5950,Jetta,Volkswagen,2
Cust4078,Camry,Mercedes,2
Cust11793,A3,Audi,1
Cust16438,Maxima,Nissan,1
Cust10750,Pathfinder,Toyota,2
Cust17616,92x,Jeep,2
Cust14073,Malibu,Saab,0
Cust33959,Maxima,Accura,1
Cust14020,A3,Jeep,0
Cust4614,Tahoe,Chevrolet,0
Cust10664,RAM,Ford,2
Cust38133,Corolla,Saab,2
Cust16138,Tahoe,Jeep,2
Cust3878,Legacy,Suburu,1
Cust36885,93,Jeep,2
Cust22584,X6,BMW,1
Cust6584,95,Saab,0
Cust29890,3 Series,BMW,2
Cust30193,Neon,Dodge,1
Cust6111,Ultima,Dodge,0
Cust17123,Pathfinder,Volkswagen,0
Cust11786,X6,BMW,2
Cust2127,A3,Saab,2
Cust29248,CRV,Audi,2
Cust18345,Tahoe,Ford,0
Cust28988,Tahoe,Accura,0
Cust7141,Escape,Ford,2
Cust33402,Malibu,Chevrolet,2
Cust20364,RAM,Audi,2
Cust18330,Grand Cherokee,Chevrolet,3
Cust39191,Camry,Audi,1
Cust9803,C300,Mercedes,2
Cust38257,Civic,BMW,3
Cust1304,F150,Ford,0
Cust31400,Malibu,Ford,3
Cust28833,A5,Toyota,1
Cust6472,A3,Audi,1
Cust34770,X5,Suburu,2
Cust9725,Silverado,Chevrolet,0
Cust34214,RSX,Toyota,2
Cust6079,A3,Audi,1
Cust19017,3 Series,Ford,3
Cust16118,RAM,Volkswagen,2
Cust22761,93,Saab,3
Cust27786,MDX,Mercedes,2
Cust22240,Fusion,Ford,3
Cust26382,F150,Ford,2
Cust23338,Forrestor,Accura,1
Cust19782,A3,Dodge,3
Cust33262,Ultima,Suburu,1
Cust17970,MDX,Accura,0
Cust5415,Pathfinder,Nissan,3
Cust3513,F150,BMW,1
Cust37914,Escape,Toyota,0
Cust26014,A3,Audi,2
Cust10474,F150,Ford,3
Cust27089,RSX,Chevrolet,1
Cust32287,Passat,Suburu,0
Cust5902,Grand Cherokee,Jeep,1
Cust33818,Neon,Audi,1
Cust15758,A5,Honda,0
Cust32342,Legacy,Suburu,3
Cust10246,Wrangler,Jeep,2
Cust3955,Forrestor,Suburu,1
Cust10081,A5,Audi,1
Cust39361,Neon,Dodge,2
Cust1559,95,Saab,2
Cust23188,Neon,Suburu,1
Cust36853,TL,Nissan,1
Cust30350,Maxima,Nissan,2
Cust12659,TL,Saab,2
Cust12854,Fusion,Ford,2
Cust37502,Grand Cherokee,Audi,1
Cust34519,93,Saab,2
Cust20430,Impreza,Suburu,1
Cust34318,Ultima,Nissan,1
Cust24952,Wrangler,Audi,1
Cust29738,Forrestor,Suburu,2
Cust4774,Silverado,Chevrolet,0
Cust37663,MDX,Suburu,1
Cust38352,ML350,Mercedes,3
Cust23273,ML350,Volkswagen,0
Cust26178,Corolla,Toyota,3
Cust4710,Grand Cherokee,Jeep,1
Cust27146,Accord,Audi,1
Cust1845,Wrangler,Jeep,3
Cust10836,Impreza,Toyota,0
Cust35359,Corolla,Toyota,1
Cust6909,Jetta,Nissan,2
Cust14063,ML350,Mercedes,2
Cust16726,Corolla,BMW,0
Cust26916,Forrestor,Suburu,0
Cust12445,Tahoe,Nissan,0
Cust13034,A3,Nissan,1
Cust5973,Highlander,Mercedes,3
Cust5004,RAM,Audi,2
Cust36565,Tahoe,Chevrolet,3
Cust39394,MDX,Honda,0
Cust34058,Tahoe,Chevrolet,2
Cust35635,Neon,Dodge,1
Cust7787,TL,Accura,3
Cust31687,93,Saab,2
Cust12318,RAM,Dodge,1
Cust36164,Wrangler,Jeep,3
Cust1388,Accord,Honda,1
Cust22786,Tahoe,Audi,0
Cust5148,C300,Ford,2
Cust9588,M5,BMW,1
Cust36969,MDX,Accura,0
Cust36984,Jetta,Saab,1
Cust32258,CRV,Dodge,2
Cust37184,TL,Accura,1
Cust23635,Accord,Suburu,1
Cust34790,Highlander,Toyota,2
Cust20867,CRV,Chevrolet,3
Cust33056,Wrangler,Suburu,0
Cust2410,A5,Nissan,3
Cust31711,Malibu,Suburu,3
Cust25004,Civic,BMW,3
Cust24477,X6,Honda,1
Cust39385,A3,Jeep,0
Cust25104,Passat,Volkswagen,1
Cust25407,Accord,Suburu,2
Cust9949,X6,BMW,2
Cust11275,Wrangler,Audi,2
Cust6077,Neon,Dodge,1
Cust24742,Jetta,Volkswagen,0
Cust32159,A3,Accura,1
Cust23205,Highlander,Toyota,1
Cust29010,3 Series,Saab,3
Cust30803,Forrestor,Suburu,0
Cust4662,RAM,Dodge,2
Cust38114,Camry,Toyota,0
Cust11096,Tahoe,Dodge,2
Cust30456,RAM,Jeep,1
Cust36890,ML350,Ford,0
Cust30909,92x,Saab,2
Cust20155,Wrangler,Jeep,3
Cust36919,Fusion,Mercedes,2
Cust16102,Legacy,Suburu,0
Cust6951,Passat,Mercedes,2
Cust18028,Malibu,Audi,2
Cust10967,X5,BMW,0
Cust22010,Highlander,Nissan,3
Cust8628,93,Honda,2
Cust30607,Grand Cherokee,Toyota,2
Cust24221,Neon,Saab,1
Cust31026,Maxima,Volkswagen,0
Cust17363,Civic,Volkswagen,0
Cust17907,Corolla,Nissan,1
Cust26402,TL,Accura,1
Cust32377,A3,Suburu,3
Cust28661,E400,Dodge,1
Cust2097,Legacy,Jeep,2
Cust17373,Legacy,Chevrolet,0
Cust12851,TL,Accura,1
Cust1390,Legacy,Suburu,2
Cust3701,Jetta,Ford,1
Cust29954,Highlander,Saab,1
Cust5654,Jetta,Toyota,2
Cust3864,93,Dodge,3
Cust11759,C300,Mercedes,2
Cust15127,RAM,Volkswagen,1
Cust32110,Legacy,Suburu,2
Cust37071,CRV,Honda,1
Cust18702,Silverado,Volkswagen,0
Cust30509,Escape,Toyota,2
Cust12964,Neon,Ford,0
Cust22216,Forrestor,Nissan,2
Cust35096,Ultima,Nissan,1
Cust20328,X6,Nissan,2
Cust16547,MDX,Chevrolet,3
Cust7244,F150,Ford,1
Cust3461,92x,Saab,0
Cust18266,MDX,Accura,0
Cust37438,E400,Mercedes,0
Cust39301,C300,Mercedes,0
Cust1387,E400,Mercedes,3
Cust12357,Legacy,Suburu,0
Cust9023,Escape,Dodge,1
Cust31058,Impreza,Suburu,3
Cust13651,Jetta,Jeep,0
Cust35657,92x,Saab,2
Cust30708,Silverado,Chevrolet,1
Cust24468,Tahoe,Chevrolet,3
Cust23190,Grand Cherokee,Saab,0
Cust5292,E400,Nissan,2
Cust19398,Legacy,Suburu,3
Cust14713,Maxima,Accura,3
Cust34681,CRV,Honda,3
Cust4362,Accord,Honda,1
Cust7628,93,Honda,0
Cust37937,Neon,Dodge,2
Cust12557,Jetta,Volkswagen,3
Cust37557,Neon,Nissan,0
Cust18344,Grand Cherokee,Jeep,1
Cust9481,X6,BMW,0
Cust3624,Tahoe,Accura,3
Cust5645,Wrangler,Mercedes,3
Cust31099,Jetta,Suburu,2
Cust35670,Malibu,Honda,3
Cust11304,Grand Cherokee,Mercedes,1
Cust23959,Pathfinder,Nissan,0
Cust2362,Grand Cherokee,Jeep,1
Cust20827,A5,Saab,0
Cust30339,F150,Chevrolet,3
Cust23906,95,Saab,0
Cust32784,E400,Ford,1
Cust27711,Ultima,Nissan,1
Cust1325,CRV,Honda,0
Cust31239,Passat,Nissan,3
Cust18956,92x,Saab,0
Cust25352,ML350,Mercedes,2
Cust18823,F150,Ford,1
Cust10025,X5,Dodge,1
Cust32024,Pathfinder,Nissan,0
Cust14871,X5,Jeep,2
Cust32346,Escape,Ford,2
Cust35407,3 Series,Accura,2
Cust36413,RSX,Honda,0
Cust33911,C300,,3
Cust13420,93,Saab,3
Cust13721,TL,Suburu,3
Cust31009,TL,Accura,0
Cust24188,Maxima,Ford,3
Cust18884,Highlander,Toyota,1
Cust5223,Tahoe,Chevrolet,1
Cust4605,X5,Jeep,1
Cust7546,Camry,Toyota,2
Cust2061,MDX,Honda,2
Cust16192,Jetta,Volkswagen,3
Cust36685,Tahoe,Volkswagen,0
Cust30822,MDX,Saab,1
Cust39036,CRV,Nissan,2
Cust10001,A5,Audi,2
Cust24531,Ultima,BMW,0
Cust33412,E400,Mercedes,2
Cust21045,ML350,Mercedes,1
Cust20087,Legacy,Chevrolet,1
Cust34735,Legacy,Suburu,2
Cust8273,A3,Audi,2
Cust32055,RSX,Accura,3
Cust20709,Grand Cherokee,Saab,2
Cust21840,3 Series,BMW,0
Cust5883,Camry,Toyota,3
Cust30948,E400,Mercedes,0
Cust11724,RAM,Dodge,0
Cust22770,Fusion,Ford,2
Cust27921,F150,Ford,0
Cust7720,Grand Cherokee,Toyota,2
Cust3533,X5,BMW,2
Cust6191,C300,Mercedes,2
Cust28564,Camry,Audi,1
Cust7450,X5,Suburu,2
Cust13248,F150,Audi,1
Cust1648,Forrestor,Suburu,1
Cust27988,X5,Jeep,3
Cust29519,Pathfinder,Nissan,1
Cust1497,MDX,Accura,0
Cust37310,RSX,Accura,1
Cust6486,F150,Ford,0
Cust14597,Accord,Honda,1
Cust32928,Corolla,Toyota,3
Cust2530,Neon,Dodge,2
Cust30115,F150,Ford,0
Cust25074,MDX,Volkswagen,2
Cust17595,A5,Accura,1
Cust11363,RAM,Toyota,1
Cust1441,Neon,Dodge,2
Cust2251,A5,Audi,1
Cust32932,Escape,Audi,0
Cust15350,Camry,Toyota,2
Cust26130,Corolla,Volkswagen,1
Cust38777,Malibu,Chevrolet,2
Cust27966,Civic,Honda,2
Cust26479,Jetta,Volkswagen,1
Cust28060,Wrangler,Volkswagen,1
Cust25185,Escape,Ford,1
Cust37428,RAM,Volkswagen,2
Cust32876,95,Toyota,1
Cust7769,Civic,Toyota,3
Cust6041,Highlander,Toyota,3
Cust16529,Pathfinder,Chevrolet,3
Cust36765,Silverado,Chevrolet,0
Cust2594,X6,BMW,0
Cust12573,RSX,Ford,3
Cust5659,92x,Saab,2
Cust20381,93,Saab,3
Cust2073,Impreza,Saab,1
Cust25894,Wrangler,Audi,3
Cust22555,RAM,Toyota,1
Cust3421,Jetta,Volkswagen,2
Cust33905,Corolla,Accura,3
Cust15762,RAM,Volkswagen,2
Cust7519,MDX,Accura,0
Cust39267,93,Saab,0
Cust31220,Wrangler,Jeep,1
Cust22522,Escape,Ford,2
Cust6385,Grand Cherokee,Jeep,2
Cust36743,Escape,Ford,0
Cust9699,E400,Mercedes,1
Cust34311,92x,Saab,1
Cust22570,Highlander,Nissan,2
Cust6581,X6,Honda,2
Cust24804,Fusion,Dodge,2
Cust8697,93,Saab,0
Cust38525,MDX,Accura,0
Cust25615,92x,Saab,1
Cust25236,93,Saab,0
Cust25372,Passat,Dodge,1
Cust27631,Neon,Dodge,3
Cust24010,Neon,Dodge,3
Cust19856,CRV,Honda,1
Cust6850,ML350,Audi,2
Cust36702,Escape,Ford,2
Cust38609,ML350,Mercedes,0
Cust33132,A5,BMW,1
Cust30762,X5,BMW,1
Cust25398,F150,Ford,0
Cust18039,M5,BMW,2
Cust32917,C300,BMW,3
Cust13176,Highlander,Toyota,3
Cust12444,CRV,Honda,0
Cust21043,Wrangler,Jeep,3
Cust27140,Fusion,Ford,3
Cust30707,Silverado,Dodge,1
Cust33167,Malibu,Accura,1
Cust2580,A3,Ford,0
Cust3051,A3,Dodge,0
Cust22878,95,Saab,1
Cust22705,Legacy,Suburu,1
Cust33889,Maxima,Nissan,2
Cust29121,92x,Accura,2
Cust15089,Civic,Chevrolet,3
Cust13371,Forrestor,Suburu,2
Cust24092,Wrangler,Jeep,2
Cust8913,95,Saab,2
Cust35918,Maxima,Honda,0
Cust30266,Pathfinder,Nissan,3
Cust28357,RSX,Accura,1
Cust4039,F150,Mercedes,3
Cust32743,Wrangler,Jeep,2
Cust9162,Passat,Volkswagen,0
Cust3414,Civic,Honda,1
Cust18907,Civic,Honda,0
Cust20128,3 Series,BMW,0
Cust37816,C300,BMW,2
Cust30425,Camry,Toyota,2
Cust26306,RAM,Honda,3
Cust18247,RSX,Toyota,2
Cust2562,93,Saab,2
Cust26390,Jetta,,0
Cust35631,Neon,Dodge,1
Cust17313,M5,Toyota,2
Cust36880,93,Jeep,2
Cust6800,Highlander,Toyota,3
Cust6732,RAM,Dodge,2
Cust24654,Escape,Ford,2
Cust36423,CRV,Honda,3
Cust39345,95,Saab,1
Cust18959,Jetta,Volkswagen,0
Cust5336,M5,BMW,3
Cust22807,A5,Ford,2
Cust38974,MDX,Accura,1
Cust18925,Highlander,Toyota,3
Cust28130,Silverado,Chevrolet,2
Cust14755,Grand Cherokee,Honda,3
Cust30093,Passat,Volkswagen,2
Cust15376,Jetta,Volkswagen,1
Cust21673,CRV,Suburu,2
Cust2497,Passat,Volkswagen,0
Cust33726,3 Series,Honda,0
Cust35996,Tahoe,Chevrolet,3
Cust16761,Passat,Volkswagen,0
Cust13454,ML350,Mercedes,2
Cust26530,Tahoe,BMW,2
Cust34638,A5,Audi,1
Cust11197,Tahoe,Chevrolet,2
Cust3715,Wrangler,Nissan,3
Cust1254,Maxima,Nissan,1
Cust22881,RAM,Dodge,1
Cust30968,E400,Mercedes,2
Cust6086,Escape,Ford,2
Cust18069,Passat,Nissan,2
Cust31555,Camry,Toyota,2
Cust32467,Silverado,BMW,3
Cust7583,RAM,Ford,1
Cust16028,Silverado,Ford,3
Cust19789,Highlander,Toyota,1
Cust22810,ML350,Dodge,1
Cust19934,Silverado,Chevrolet,1
Cust28459,Legacy,Suburu,2
Cust13193,CRV,Honda,2
Cust21111,Legacy,Suburu,3
Cust31678,Silverado,Chevrolet,0
Cust38049,Camry,Toyota,1
Cust29229,Impreza,Suburu,0
Cust4436,92x,Saab,0
Cust8025,Wrangler,Jeep,0
Cust12408,Accord,Mercedes,0
Cust23661,Malibu,Chevrolet,1
Cust38553,Wrangler,Jeep,0
Cust6121,RAM,Dodge,0
Cust18845,92x,Saab,0
Cust18145,Pathfinder,Volkswagen,2
Cust29378,Silverado,Chevrolet,0
Cust19585,MDX,Accura,2
Cust2385,Forrestor,Dodge,2
Cust22598,A3,Audi,1
Cust29334,Silverado,Chevrolet,3
Cust27794,Forrestor,Suburu,2
Cust1938,Grand Cherokee,Jeep,0
Cust20938,Passat,Dodge,0
Cust22467,RAM,Dodge,2
Cust17301,93,Jeep,0
Cust12256,A3,Volkswagen,2
Cust36854,Pathfinder,Honda,0
Cust35406,95,Saab,1
Cust27846,ML350,Accura,2
Cust36647,F150,Ford,3
Cust26709,Jetta,BMW,3
Cust14817,Pathfinder,BMW,2
Cust14414,Civic,Accura,2
Cust10957,MDX,Suburu,1
Cust24000,F150,Ford,2
Cust24099,A5,Audi,1
Cust34360,Malibu,Chevrolet,0
Cust1819,Malibu,Chevrolet,2
Cust16030,M5,BMW,0
Cust13535,Legacy,Suburu,0
Cust27048,Jetta,Nissan,3
Cust16787,Civic,Volkswagen,2
Cust18623,MDX,Mercedes,1
Cust38692,Ultima,Accura,2
Cust13680,92x,Saab,2
Cust9913,3 Series,BMW,3
Cust1010,92x,Saab,0
Cust12895,Grand Cherokee,Accura,1
Cust23770,Neon,BMW,2
Cust14516,CRV,Chevrolet,3
Cust39210,Fusion,Ford,0
Cust15116,Corolla,Toyota,1
Cust14168,Wrangler,Dodge,2
Cust6999,Grand Cherokee,Suburu,2
Cust34660,TL,Accura,1
Cust22493,Civic,Accura,2
Cust28629,Silverado,Chevrolet,2
Cust5462,Maxima,Mercedes,3
Cust16621,Fusion,Ford,2
Cust29637,RSX,Saab,1
Cust5837,A3,Accura,1
Cust7624,Escape,Nissan,2
